"astro-ph/0302467","Agnieszka Wozna","A. Wozna, L. Kuiper, W. Hermsen","PSR B1929+10 Revisited in X-Rays",,"Astron.Astrophys.434:1097-1105,2005","10.1051/0004-6361:20040368",,"astro-ph",,"  This article has been withdrawn because it was submitted twice
unintentionally.
","[{""version"":""v1"",""created"":""Sat, 22 Feb 2003 17:28:19 GMT""},{""version"":""v2"",""created"":""Mon, 3 Mar 2003 18:01:31 GMT""}]","2009-01-16"
"hep-ex/0302031","Juan Estrada","Juan Estrada (Fermilab) (for the DZERO Collaboration)","Optimal use of Information for Measuring $M_t$ in Lepton+jets $t\bar{t}$
  Events","presented at HCP2002",,,,"hep-ex",,"  We present a novel approach that is being developed at DZero for extracting
information from data through a direct comparison of all measured variables in
an event with a matrix element that describes the entire production process.
The method is exemplified in the extraction of the mass of the top quark in
top-antitop events in the lepton+jets final state. Monte Carlo studies suggest
that an improvement of about a factor of two in statistical uncertainty on the
mass of the top quark can be achieved relative to previously published work for
the same channel. Preliminary results from the re-analysis provide a reduction
in the statistical uncertainty of almost a factor of 1.6, corresponding to an
effective factor of 2.4 increase in the size of the data sample.
","[{""version"":""v1"",""created"":""Sun, 23 Feb 2003 14:47:14 GMT""}]","2019-08-14"
"hep-ph/0302204","Tomohiro Matsuda","Tomohiro Matsuda","Topological hybrid inflation in brane world","6pages, latex2e, accepted for publication in JCAP","JCAP 0306 (2003) 007","10.1088/1475-7516/2003/06/007",,"hep-ph astro-ph hep-th",,"  In this paper we show that certain types of cosmological brane configurations
may induce topological inflation. In generic models for topological inflation,
there is a strict bound for the potential of the inflaton field. Naively, it
seems that these constraints can be removed if inflation starts with a hybrid
potential. However, it is difficult to combine topological inflation and hybrid
inflation, because of the difference in their initial conditions. In this
paper, we show some examples in which a novel type of topological inflation is
realized with the unconventional hybrid potential.
","[{""version"":""v1"",""created"":""Sun, 23 Feb 2003 15:10:51 GMT""},{""version"":""v2"",""created"":""Thu, 6 Mar 2003 05:25:03 GMT""},{""version"":""v3"",""created"":""Sat, 3 May 2003 04:32:41 GMT""},{""version"":""v4"",""created"":""Tue, 17 Jun 2003 07:06:42 GMT""}]","2009-11-10"
"hep-th/0302177","Adriano Parodi","A. Parodi (SISSA)","Toward the construction of a C^* algebra in string field theory","34 pages, no figures, report-no added",,,"SISSA 20/2003/fm","hep-th",,"  In string field theory there is a fundamental object, the algebra of string
field states \A, that must be understood better from a mathematical point of
view. In particular we are interested in finding, if possible, a C^* structure
over it, or possibly over a subalgebra U \subset \A. In this paper we define a
* operation on \A, and then using a particular description of Witten's star
product, the Moyal's star product, we find an appropriate pre C^* algebra
S(R^{2n}) on a finite dimensional manifold, where the finite dimensionality is
obtained with a cutoff procedure on the string oscillators number. Then we show
that using an inductive limit we obtain a pre C^* algebra S \subset \A that can
be completed to a C^* algebra.
","[{""version"":""v1"",""created"":""Sat, 22 Feb 2003 18:18:15 GMT""},{""version"":""v2"",""created"":""Mon, 17 Mar 2003 20:21:38 GMT""},{""version"":""v3"",""created"":""Thu, 22 May 2003 14:40:33 GMT""}]","2007-05-23"
"math-ph/0302055","Gerardo Iovane","G.Iovane, M.Ciarletta","Hypersingular Integral Equations and Applications to Porous Elastic
  Materials","4 Pages, Proceedings Of Thermal Stress 2003",,,,"math-ph math.MP math.NA",,"  In this paper a treatment of hypersingular integral equations, which have
relevant applications in many problems of wave dynamics, elasticity and fluid
mechanics with mixed boundary conditions, is presented. The main goal of the
present work is the development of an efficient direct numerical collocation
method. The second part of the work is devoted to the application of the method
to the porous elastic materials. This part deals with classical problem for
cracks dislocated in a certain very specific porous elastic material, described
by a Cowin-Nunziato model. By applying Fourier integral transform the problem
is reduced to some integral equations. For the plane-strain problem we operate
with a direct numerical treatment of a hypersingular integral equation. We also
study stress-concentration factor, and investigate its behaviour versus
porosity of the material. At the end we investigate the possibility to extend
the results in the thermoelastic case.
","[{""version"":""v1"",""created"":""Sun, 23 Feb 2003 12:31:13 GMT""}]","2007-05-23"
"math/0302277","Par M. Kurlberg","P. Kurlberg, Z. Rudnick","On the distribution of matrix elements for the quantum cat map","Shortened version (19 pages). Accepted for publication in Annals of
  Mathematics",,,,"math.NT math-ph math.MP",,"  For many classically chaotic systems it is believed that the quantum wave
functions become uniformly distributed, that is the matrix elements of smooth
observables tend to the phase space average of the observable. In this paper we
study the fluctuations of the matrix elements for the desymmetrized quantum cat
map. We present a conjecture for the distribution of the normalized matrix
elements, namely that their distribution is that of a certain weighted sum of
traces of independent matrices in SU(2). This is in contrast to generic chaotic
systems where the distribution is expected to be Gaussian. We compute the
second and fourth moment of the normalized matrix elements and obtain agreement
with our conjecture.
","[{""version"":""v1"",""created"":""Sat, 22 Feb 2003 22:17:45 GMT""},{""version"":""v2"",""created"":""Thu, 19 Jun 2003 15:42:37 GMT""},{""version"":""v3"",""created"":""Sat, 10 Jan 2004 14:57:31 GMT""}]","2007-05-23"
"math/0302278","Marcelo Aguiar","Marcelo Aguiar, Nantel Bergeron and Kathryn Nyman","The peak algebra and the descent algebras of types B and D","45 pages","Trans. Amer. Math. Soc. 356 (2004), no. 7, 2781--2824","10.1090/S0002-9947-04-03541-X",,"math.CO math.RA",,"  We show the existence of a unital subalgebra of the symmetric group algebra
linearly spanned by sums of permutations with a common peak set, which we call
the peak algebra. We show that this algebra is the image of the descent algebra
of type B under the map to the descent algebra of type A which forgets the
signs, and also the image of the descent algebra of type D. The peak algebra
contains a two sided ideal which is defined in terms of interior peaks. This
object was introduced in previous work by Nyman; we find that it is the image
of certain ideals of the descent algebras of types B and D introduced in
previous work of N. Bergeron et al. We derive an exact sequence involving the
peak ideal and the peak algebras of degrees $n$ and $n-2$. We obtain this and
many other properties of the peak algebra and its peak ideal by first
establishing analogous results for signed permutations and then forgetting the
signs. In particular, we construct two new commutative semisimple subalgebras
of the descent algebra by grouping permutations according to their number of
peaks or interior peaks. We discuss the Hopf algebraic structures that exist on
the direct sums of these spaces over $n\geq 0$ and explain the connection with
previous work of Stembridge; we also obtain new properties of his
descents-to-peaks map and construct a type B analog.
","[{""version"":""v1"",""created"":""Sun, 23 Feb 2003 01:29:00 GMT""},{""version"":""v2"",""created"":""Tue, 25 Feb 2003 00:24:20 GMT""},{""version"":""v3"",""created"":""Wed, 12 Mar 2003 01:04:17 GMT""},{""version"":""v4"",""created"":""Fri, 2 May 2003 04:30:29 GMT""}]","2016-11-08"
"math/0302280","Christopher J. Leininger","Christopher J. Leininger","Equivalent curves in surfaces","To appear in Geometriae Dedicata, 23 pages, 8 figures, see also
  http://www.math.columbia.edu/~clein",,,,"math.GT",,"  We consider various equivalence relations on the set of homotopy classes of
curves on a hyperbolic surface based on topological, algebraic, and geometric
structures. The purpose of this work is to determine the relationship between
these equivalences.
","[{""version"":""v1"",""created"":""Sun, 23 Feb 2003 15:22:01 GMT""}]","2007-05-23"
"nucl-th/0302065","Christian Forssen","C. Forss\'en, N.B. Shul'gina and M.V. Zhukov","Radiative capture and electromagnetic dissociation involving loosely
  bound nuclei: the $^8$B example","Submitted to Phys. Rev. C. 10 pages, 7 figures","Phys.Rev. C67 (2003) 045801","10.1103/PhysRevC.67.045801",,"nucl-th",,"  Electromagnetic processes in loosely bound nuclei are investigated using an
analytical model. In particular, electromagnetic dissociation of $^8$B is
studied and the results of our analytical model are compared to numerical
calculations based on a three-body picture of the $^8$B bound state. The
calculation of energy spectra is shown to be strongly model dependent. This is
demonstrated by investigating the sensitivity to the rms intercluster distance,
the few-body behavior, and the effects of final state interaction. In contrast,
the fraction of the energy spectrum which can be attributed to E1 transitions
is found to be almost model independent at small relative energies. This
finding is of great importance for astrophysical applications as it provides us
with a new tool to extract the E1 component from measured energy spectra. An
additional, and independent, method is also proposed as it is demonstrated how
two sets of experimental data, obtained with different beam energy and/or
minimum impact parameter, can be used to extract the E1 component.
","[{""version"":""v1"",""created"":""Sat, 22 Feb 2003 16:27:58 GMT""}]","2009-11-10"
"nucl-th/0302066","Boris Ivlev","Boris Ivlev","Euclidean resonance and a new type of nuclear reactions","30 pages, 12 figures",,,,"nucl-th",,"  The extremely small probability of quantum tunneling through an almost
classical potential barrier may become not small under the action of the
specially adapted nonstationary field. The tunneling rate has a sharp peak as a
function of the particle energy when it is close to the certain resonant value
defined by the nonstationary field (Euclidean resonance). Alpha decay of nuclei
has a small probability since the alpha particle should tunnel through a very
nontransparent Coulomb barrier. The incident proton, due to the Coulomb
interaction with the tunneling alpha particle, plays the role of a
nonstationary field which may result in Euclidean resonance in tunneling of the
alpha particle. At the resonant proton energy, which is of the order of 0.2
Mev, the alpha particle escapes the nucleus and goes to infinity with no
influence of the nuclear Coulomb barrier. The process is inelastic since the
alpha particle releases energy and the proton gains it. This stimulation of
alpha decay by a proton constitutes a new type of nuclear reactions.
","[{""version"":""v1"",""created"":""Sat, 22 Feb 2003 23:36:42 GMT""}]","2007-05-23"
"physics/0302080","Valerio Lucarini","Valerio Lucarini, Kai Erik Peiponen","Verification of generalized Kramers-Kronig relations and sum rules on
  experimental data of third harmonic generation susceptibility on polymers","37 pages, 12 Figures",,"10.1063/1.1578625",,"physics.optics cond-mat.mtrl-sci physics.atom-ph physics.chem-ph",,"  We present the first analysis of harmonic generation data where the full
potential of the generalized nonlinear Kramers-Kronig (K-K) relations and sum
rules is exploited. We consider two published sets of wide spectral range
experimental data of third harmonic generation susceptibility on different
polymers, the polysilane (frequency range: $0.4-2.4$ $eV$) and the
polythiophene (frequency range: $0.5-2.0$ $eV$). We show that, independent
truncated dispersion relations connect the real and imaginary part of the
moments of the third harmonic generation susceptibility
$\omega^{2\alpha}\chi^{(3)}(3\omega; \omega, \omega ,\omega)$, with $\alpha$
ranging from 0 to 3, in agreement with the theory, while there is no
convergence if we choose $\alpha=4$. We repeat the same analysis for
$\omega^{2\alpha}[\chi^{(3)}(3\omega; \omega, \omega ,\omega)]^{2}$ and show
that a larger number of independent K-K relations connect the real and the
imaginary part of the function under examination. We also compute the sum rules
for the suitable moments of the real and imaginary parts, and observe that only
considering higher powers of the susceptibility the correct vanishing sum rules
are more precisely obeyed. Sum rules providing explicit information about
structural properties of the material seem to require wider spectral range.
These constraints are expected to hold for any material and provide fundamental
tests of self-consistency that any experimental or model generated data have to
obey.
","[{""version"":""v1"",""created"":""Sat, 22 Feb 2003 16:18:29 GMT""}]","2009-11-10"
"physics/0302081","Ping Ao","P. Ao (Univ. of Washington)","Stochastic Force Defined Evolution in Dynamical Systems","Revtex, 4 pages",,,,"physics.class-ph physics.gen-ph",,"  Dynamics near and far away from thermal equilibrium is studied within the
framework of Langevin equations. A stochasticity-dissipation relation is
proposed to emphasize the equal importance of the stochastic and deterministic
forces in describing the system's evolution and destination. It is a
generalization of the fluctuation-dissipation theorem. Close to a stationary
state an explicit construction of the potential energy is given through a
gauged singular decomposition. Possible directions to extend the present study
into generic situations are pointed out.
","[{""version"":""v1"",""created"":""Sat, 22 Feb 2003 23:29:33 GMT""}]","2007-05-23"
"physics/0302082","Jie Liang","Xiang Li, Changyu Hu and Jie Liang","Simplicial edge representation of protein structures and alpha contact
  potential with confidence measure","18 pages, 7 figures, and 6 tables. Accepted by Proteins",,,,"physics.bio-ph q-bio",,"  Protein representation and potential function are essential ingredients for
studying proteins folding and protein prediction. We introduce a novel
geometric representation of contact interactions using the edge simplices from
alpha shape of protein structure. This representation can eliminate implausible
neighbors not in physical contact, and can avoid spurious contact between two
residues when a third residue is between them. We develop statistical alpha
contact potential. A studentized bootstrap method is then introduced for
assessing the 95% confidence intervals for each of the 210 parameters. We found
with confidence that there is significant long range propensity (>30 residues
apart) for hydrophobic interactions. We test alpha contact potential for native
structure discrimination using several decoy sets, and found it often has
comparable performance with atom-based potentials requiring more parameters. We
also show that alpha contact potential has better performance than potential
defined by cut-off distance between geometric centers of side chains.
Clustering of alpha contact potentials reveals natural grouping of residues. To
explore the relationship between shape representation and physicochemical
representation, we test the minimum alphabet size for structure discrimination.
We found that there is no significant difference in discrimination when
alphabet size varies from 7 to 20, if geometry is represented accurately by
alpha simplicial edges. This result suggests that the geometry of packing plays
an important role, but the specific residue types are often interchangeable.
","[{""version"":""v1"",""created"":""Sun, 23 Feb 2003 06:36:45 GMT""}]","2007-05-23"
"physics/0302083","Igor Lozovitski","S.L Arsenjev, I.B. Lozovitski, Y.P.Sirik","The Flowing System Gasdynamics Part 4: Influence of the incident flow
  velocity on the outflow velocity out of flowing eleme","3 pages",,,,"physics.flu-dyn",,"  It is shown, that the introduction in Saint-Venant -Wantzel formula radicand
of the free component in the form of quadrate of velocity of the incident gas
flow on inlet of flowing element that was offered in the end of the XIX century
and is remained till now it is physically inadequate. It is shown that this way
is doubtful for hydromechanics and it absolutely is not reasonably for
gasdynamics. Physically exact form of writing of static head law for flowing
element and relevant to this, the modern form of Saint-Venant - Wantzel formula
are submitted ad-hoc. The obtained expressions allow physically correctly to
take into account both combined and isolated influence of pressure drop
applying to the flowing element and velocity of incident gas flow on flowing
element, on quantity of the outflow velocity of gas stream out of this flowing
element, system. The obtained expressions are valid for a subsonic velocity of
the incident gas flow. The particular expressions are obtained for liquid.
","[{""version"":""v1"",""created"":""Sun, 23 Feb 2003 06:59:29 GMT""}]","2007-05-23"
