"astro-ph/0301058","Yun Wang","Pia Mukherjee, and Yun Wang","Wavelet Band Powers of the Primordial Power Spectrum from CMB Data","revised version accepted by ApJ","Astrophys.J. 593 (2003) 38","10.1086/376500",,"astro-ph hep-ph",,"  Measuring the primordial matter power spectrum is our primary means of
probing unknown physics in the very early universe. We allow the primordial
power spectrum to be an arbitrary function, and parametrize it in terms of
wavelet band powers. Current cosmological data correspond to 11 such wavelet
bands. We derive constraints on these band powers as well as $H_0$, $\Omega_b
h^2$ and $\Omega_m h^2$ from current Cosmic Microwave Background Anisotropy
(CMB) data using the Markov Chain Monte Carlo (MCMC) technique. Our results
indicate a feature in the primordial power spectrum at $ 0.008 \la k/(h
{Mpc}^{-1}) \la 0.1$. MAP and Planck data should allow us to put tighter
constraints on the primordial power spectrum.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 19:09:12 GMT""},{""version"":""v2"",""created"":""Wed, 23 Apr 2003 17:34:10 GMT""}]","2009-11-07"
"astro-ph/0301090","Fotis P. Gavriil","F.P. Gavriil (1), V.M. Kaspi (1), M.S.E. Roberts (1 and 2) ((1) McGill
  University, (2) MIT)","Phase Coherent Timing of PSR J1811-1925: The Pulsar at the Heart of
  G11.2-0.3","6 pages, 3 figures, To appear in the proceedings of the 34th Cospar
  Scientific Assembly",,"10.1016/j.asr.2003.07.028",,"astro-ph",,"  The X-ray Pulsar PSR J1811-1925 in the historic supernova remnant G11.2-0.3
has a characteristic age over 10 times the age of the remnant. This likely
implies that its current spin period, 65 ms, is close to its birth spin period.
Alternatively, the pulsar may have an unusually high braking index. We report
here on regular Rossi X-ray Timing Explorer/ Proportional Counting Array
(RXTE/PCA) timing observations of the pulsar that were designed to measure its
braking index. We provide a preliminary phase-coherent timing solution which
includes a significant $\ddot{\nu}$. The braking index we measure is >> 3,
likely a result of conventional timing noise. We also report on a preliminary
analysis of the pulsar's unusually hard spectrum: we determine a photon index
of $\Gamma = 1.78\pm0.74$, for the pulsed component of the spectra, consistent
within the uncertainties with previous ASCA and Chandra observations. The
pulsed emission of PSR J1811-1925 is seen beyond 30 keV, and the pulsations
remain sinusoidal up to and beyond this energy.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 21:35:38 GMT""}]","2009-11-07"
"astro-ph/0301091","Thomas J. Maccarone","Thomas J. Maccarone & Paolo S. Coppi","Spectral Fits to the 1999 Aql X-1 Outburst Data","10 pages, 7 figues, accepted to A+A","Astron.Astrophys. 399 (2003) 1151-1158","10.1051/0004-6361:20021881",,"astro-ph",,"  We present analysis and spectral fits of the RXTE data from the May/June 1999
outburst of Aql X-1. These data include observations in the rising portion of
the hard state, in the soft state, and in the falling portion of the hard
state. We show that the data can be fit by a purely thermal Comptonization
model for all the observations, but that more complicated models cannot be
ruled out. Up to 60% of the corona's power in the soft state may be injected
into non-thermal electrons. The soft state data show approximately constant
optical depth and coronal temperatures over a range of $\sim10$ in luminosity,
while they show evidence for a reduction of seed photon temperature with
reduced luminosity and indicate that the characteristic size of the seed photon
emitting region is roughly constant throughout the soft state. The hard state
before the soft state shows a higher luminosity, higher optical depth, and
lower electron temperature than the hard state after the soft state. We find a
reduction of the hard (30-60 keV) X-ray flux during a type I burst and show
that it requires a total corona energy reservoir of less than $\sim 10^{38}$
ergs.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 21:45:41 GMT""}]","2009-11-07"
"astro-ph/0301092","Fotis P. Gavriil","F.P. Gavriil, V.M. Kaspi (McGill), P.M. Woods (NSSTC, Usra)","Anomalous X-ray Pulsars: Long-Term Monitoring and Soft-Gamma Repeater
  like X-ray Bursts","10 pages, 7 figures, to appear in the proceedings of the 34th Cospar
  Scientific Assembly",,"10.1016/j.asr.2003.07.023",,"astro-ph",,"  We report on long-term monitoring of anomalous X-ray pulsars (AXPs) using the
Rossi X-ray Timing Explorer (RXTE). Using phase-coherent timing, we find a wide
variety of behaviors among the sources, ranging from high stability (in 1E
2259.1+586 in quiescence and 4U 0142+61), to instabilities so severe that
phase-coherent timing is not possible (in 1E 1048.1-5937). We note a
correlation in which timing stability in AXPs decreases with increasing
$\dot{\nu}$. The timing stability of soft gamma repeaters (SGRs) in quiescence
is consistent with this trend, which is similar to one seen in radio pulsars.
We find no significant pulse morphology variations in any AXP in quiescence. We
considered high signal-to-noise average pulse profiles for each AXP as a
function of energy. We show that, as in the timing properties, there is a
variety of different behaviors for the energy dependence. We also used the
monitoring and archival data to obtain pulsed flux time series for each source.
We have found no large changes in pulsed flux for any source in quiescence, and
have set $1\sigma$ upper limits on variations ~20-30% depending on the source.
We have recently discovered bursts from the direction of two AXPs: 1E
1048.1-5937 the most SGR-like AXP, and 1E 2259.1+586 the most rotationally
stable AXP. We compare the temporal, spectral and flux properties of these
events to those of SGR bursts, and show that the two phenomena are very
similar. These results imply a close relationship between AXPs and SGRs, with
both being magnetars.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 21:52:45 GMT""}]","2009-11-07"
"astro-ph/0301093","Ralf Klessen","Mordecai-Mark Mac Low (AMNH, New York) and Ralf S. Klessen (AIP,
  Potsdam)","Control of star formation by supersonic turbulence","Invited review for ""Reviews of Modern Physics"", 87 pages including 28
  figures, in press","Rev.Mod.Phys.76:125-194,2004","10.1103/RevModPhys.76.125",,"astro-ph",,"  Understanding the formation of stars in galaxies is central to much of modern
astrophysics. For several decades it has been thought that stellar birth is
primarily controlled by the interplay between gravity and magnetostatic
support, modulated by ambipolar diffusion. Recently, however, both
observational and numerical work has begun to suggest that support by
supersonic turbulence rather than magnetic fields controls star formation. In
this review we outline a new theory of star formation relying on the control by
turbulence. We demonstrate that although supersonic turbulence can provide
global support, it nevertheless produces density enhancements that allow local
collapse. Inefficient, isolated star formation is a hallmark of turbulent
support, while efficient, clustered star formation occurs in its absence. The
consequences of this theory are then explored for both local star formation and
galactic scale star formation. (ABSTRACT ABBREVIATED)
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 22:54:18 GMT""},{""version"":""v2"",""created"":""Wed, 10 Sep 2003 12:57:06 GMT""}]","2010-04-06"
"astro-ph/0301094","Paul J. Wiita","Gopal-Krishna (NCRA), Paul J. Wiita (GSU)","Radio Galaxies and the Magnetization of the IGM","8 pages, 0 figures, Final version to appear in Radio Astronomy at the
  Fringe, ASP Conf. Ser., eds. J.A. Zensus, M.H. Cohen, E. Ros; uses
  rafringe.sty, included. Typo corrected and two references added",,,,"astro-ph",,"  Observed radio galaxies had a much higher comoving density during the `quasar
era', at z ~ 2-3, but these sources are only detectable for small fractions of
their active lifetimes at such high z due to expansion losses and increased
inverse Compton losses against the cosmic microwave background. Using recent
models for the evolution of the size and luminosity of powerful double radio
sources, as well as LCDM simulations of the cosmic web of baryonic material, we
argue that during the quasar era a high volume fraction of this web was
occupied by the lobes of double radio sources. They could have seeded the IGM
with an average magnetic field approaching 10^{-8} G. Further, these advancing
overpressured lobes could compress the denser interstellar gas clouds of the
galaxies engulfed by them and thus trigger starbursts. This can probably
account for much of the intense star-formation activity witnessed beyond z ~
1.5. Also, the sweeping up of the ISM of the gas-rich galaxies by the rapidly
advancing radio lobes may well be responsible for the widespread metal
pollution of the IGM and proto-galaxies at high redshifts.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 22:54:55 GMT""},{""version"":""v2"",""created"":""Wed, 15 Jan 2003 20:06:13 GMT""}]","2007-05-23"
"astro-ph/0301095","Laird M. Close","Laird M. Close, Nick Siegler, Melanie Freed, & Beth Biller","Detection of Nine M8.0-L0.5 Binaries: The Very Low Mass Binary
  Population and its Implications for Brown Dwarf and VLM Star Formation","To appear in the April 10, 2003 issue of The Astrophysical Journal 30
  pages, 17 figures","Astrophys.J. 587 (2003) 407-422","10.1086/368177",,"astro-ph",,"  Use of the highly sensitive Hokupa'a/Gemini curvature wavefront sensor has
allowed direct adaptive optics (AO) guiding on very low mass (VLM) stars with
SpT=M8.0-L0.5. A survey of 39 such objects detected 9 VLM binaries. Most of
these systems are tight (separation <5 AU) and have similar masses (Delta
Ks<0.8 mag; 0.85<q<1.0). We find a sensitivity corrected binary fraction in the
range 15+/-7% for M8.0-L0.5 stars with separations >2.6 AU. This is slightly
less than the 32+/-9% measured for more massive M0-M4 dwarfs over the same
separation range (Fischer & Marcy 1992). It appears M8.0-L0.5 binaries (as well
as L and T dwarf binaries) have a much smaller semi-major axis distribution
peak (~4 AU) than early M binaries. We also find no VLM binary systems (defined
here as systems with M_tot<0.185 solar masses) with separations >15 AU.
  We briefly explore possible reasons why VLM binaries are slightly less
common, nearly equal mass, and much more tightly bound compared to more massive
binaries. We find that a kick during the ejection of a forming VLM binary from
a close triple or quadruple encounter (imparting a differential kick of ~3 km/s
between the members of the binary) could reproduce the observed cut-off in the
semi-major axis distribution at ~20 AU. However, the estimated binarity (~<5%;
Bate et al. 2002) produced by such ""ejection scenarios"" is below the 9-15%
observed. Similarly, the dynamical decay models of Sterzik & Durisen (1998);
Durisen, Sterzik, & Pickett (2001) also cannot produce a VLM binary fraction
above ~5%. Our estimate of a fragmentation-produced VLM binary semi-major axis
distribution contains a significant fraction of ``wide'' VLM binaries with a>20
AU in contrast to observation. Hence more detailed theoretical work will be
needed to explain this very interesting VLM binary population.
","[{""version"":""v1"",""created"":""Mon, 6 Jan 2003 23:36:49 GMT""}]","2009-11-07"
"astro-ph/0301096","Yoshiaki Taniguchi","K. Kodaira, Y. Taniguchi, N. Kashikawa, N. Kaifu, H. Ando, H. Karoji,
  et al","The Discovery of Two Lyman$\alpha$ Emitters Beyond Redshift 6 in the
  Subaru Deep Field","13 pages, 3 figures. PASJ (Letters), 55, vol.2, in press",,"10.1093/pasj/55.2.L17",,"astro-ph",,"  We have performed a deep optical imaging survey using a narrowband filter
($NB921$) centered at $\lambda =$ 9196 \AA ~ together with $i^\prime$ and
$z^\prime$ broadband filters covering an 814 arcmin$^2$ area of the Subaru Deep
Field. We obtained a sample of 73 strong $NB921$-excess objects based on the
following two color criteria; $z^\prime - NB921 > 1$ and $i^\prime - z^\prime >
1.3$. We then obtained optical spectroscopy of nine objects in our
$NB921$-excess sample, and identified at least two Ly$\alpha$ emitters
at$z=6.541 \pm 0.002$ and $z=6.578 \pm 0.002$, each of which shows the
characteristic sharp cutoff together with the continuum depression at
wavelengths shortward of the line peak. The latter object is more distant than
HCM-6A at $z=6.56$ and thus this is the most distant known object found so far.
These new data allow us to estimate the first meaningful lower limit of the
star formation rate density beyond redshift 6; $\rho_{\rm SFR} \sim 5.2 \times
10^{-4} M_\odot$ yr$^{-1}$ Mpc$^{-3}$. Since it is expected that the actual
density is higher by a factor of several than this value, our new observation
reveals that a moderately high level of star formation activity already
occurred at $z \sim$ 6.6.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 01:27:04 GMT""},{""version"":""v2"",""created"":""Fri, 28 Feb 2003 09:38:09 GMT""}]","2015-06-24"
"astro-ph/0301097","Yoshiaki Taniguchi","Y. Taniguchi","The MAHOROBA Project -- Deep Survey with an Optical Intermediate-Band
  Filter System on the Subaru Telescope","5 pages, 1 figure. To appear in the proceedings of the Japan-Germany
  Workshop on Studies of Galaxies in the Young Universe with New Generation
  Telescopes, edited by N. Arimoto & W. Duschul",,,,"astro-ph",,"  We present a summary of the new optical intermediate-band filter system for
the prime-focus camera, Suprime-Cam, on the Subaru telescope at Mauna Kea
Observatories. We also discuss a future plan to promote a new deep survey with
this filter system (the MAHOROBA project).
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 01:32:33 GMT""}]","2007-05-23"
"astro-ph/0301098","Chris Simpson","Chris Simpson (Subaru Telescope)","Quasars are more luminous than radio galaxies - so what?","6 pages. To appear in ""Radio galaxies: past, present and future"", eds
  M. Jarvis et al., Leiden, Nov 2002","New Astron.Rev. 47 (2003) 211-214","10.1016/S1387-6473(03)00027-7",,"astro-ph",,"  Surveys to find high-redshift radio galaxies deliberately exclude
optically-bright objects, which may be distant radio-loud quasars. In order to
properly determine the space density of supermassive black holes, the fraction
of such objects missed must be determined within a quantitative framework for
AGN unification. I briefly describe the receding torus model, which predicts
that quasars should have more luminous ionizing continua than radio galaxies of
similar radio luminosity, and present evidence to support it. I also suggest
two further tests of the model which should constrain some of its parameters.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 01:58:39 GMT""}]","2009-11-07"
"astro-ph/0301099","Hideki Asada","Hideki Asada, Masumi Kasai, Tatsuya Yamamoto","Separability of Rotational Effects on a Gravitational Lens","12 pages (RevTeX); accepted for publication in Phys. Rev. D","Phys.Rev. D67 (2003) 043006","10.1103/PhysRevD.67.043006",,"astro-ph gr-qc",,"  We derive the deflection angle up to $O(m^2a)$ due to a Kerr gravitational
lens with mass $m$ and specific angular momentum $a$. It is known that at the
linear order in $m$ and $a$ the Kerr lens is observationally equivalent to the
Schwarzschild one because of the invariance under the global translation of the
center of the lens mass. We show, however, nonlinear couplings break the
degeneracy so that the rotational effect becomes in principle separable for
multiple images of a single source. Furthermore, it is distinguishable also for
each image of an extended source and/or a point source in orbital motion. In
practice, the correction at $O(m^2a)$ becomes $O(10^{-10})$ for the
supermassive black hole in our galactic center. Hence, these nonlinear
gravitational lensing effects are too small to detect by near-future
observations.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 05:35:39 GMT""}]","2009-11-07"
"astro-ph/0301100","Michael Feast","Michael Feast (University of Cape Town)","Current Uncertainties in the Use of Cepheids as Distance Indicators","26 pages, no figs, to appear in ""Stellar Candles for the
  Extragalactic Distance Scale"" Lecture Notes in Physics (Springer) ed. D.
  Alloin and W. Gieren","Lect.Notes Phys. 635 (2003) 45-70","10.1007/978-3-540-39882-0_3",,"astro-ph",,"  The methods of calibrating the luminosities of galactic Cepheids and
determining Cepheid reddenings are considered in some detail. Together with
work on NGC4258 this suggests that the calibration presented is valid to about
0.1mag (s.e.) at least for Cepheids with near-solar abundances. Metallicity
effects are considered, partly through the use of non-Cepheid moduli of the
LMC. To reduce the uncertainty substantially below 0.1mag will require
extensive work on metallicity effects. Non-linearities in the period-luminosity
and period-colour relations will also need to be considered as will the need to
distinguish unambiguously between fundamental and overtone pulsators.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 07:31:27 GMT""}]","2015-06-24"
"astro-ph/0301101","Michael Feast","Michael Feast (University of Cape Town)","Miras and Other Cool Variables with GAIA","10 pages, one diagram, to appear in ``GAIA Spectroscopy, Science and
  Technology"" ASP Conf. Ser. ed U. Munari",,,,"astro-ph",,"  A general review is given of Mira and other cool variable stars,
concentrating on those aspects on which GAIA, and more particularly GAIA
spectroscopy and radial velocities, will have a major impact.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 08:01:57 GMT""}]","2007-05-23"
"astro-ph/0301102","Jeremy R. Walsh","L. B. Lucy (Imperial College London), J. R. Walsh (ESO)","Iterative techniques for the decomposition of long-slit spectra","Accepted by AJ. 20 pages, 4 figures",,"10.1086/368144",,"astro-ph",,"  Two iterative techniques are described for decomposing a long-slit spectrum
into the individual spectra of the point sources along the slit and the
spectrum of the underlying background. One technique imposes the strong
constraint that the spectrum of the background is spatially-invariant; the
other relaxes this constraint. Both techniques are applicable even when there
are numerous overlapping point sources superposed on a structurally-complex
background. The techniques are tested on simulated as well as real long-slit
data from the ground and from space.
","[{""version"":""v1"",""created"":""Tue, 7 Jan 2003 09:14:19 GMT""}]","2009-11-07"
