"astro-ph/0312567","Timur Rashba","V. B. Semikoz and D. D. Sokoloff","Large-scale magnetic field generation by alpha-effect driven by
  collective neutrino-plasma interaction","11 pages, no figure, extended version accepted in Phys. Rev. Lett","Phys.Rev.Lett. 92 (2004) 131301","10.1103/PhysRevLett.92.131301",,"astro-ph hep-ph",,"  We suggest a new mechanism for generation of large-scale magnetic field in
the hot plasma of early universe which is based on the parity violation in weak
interactions and depends neither on helicity of matter turbulence resulting in
the standard alpha-effect nor on general rotation. The mechanism can result in
a self-excitation of an (almost) uniform cosmological magnetic field.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 17:15:33 GMT""},{""version"":""v2"",""created"":""Sun, 29 Feb 2004 15:09:49 GMT""}]","2009-11-10"
"astro-ph/0312580","Pedro J. Amado","P.J. Amado, R. Garrido, E. Poretti, E. Michel","Preparing the COROT space mission: Building a photometric and
  variability database of stars in its field of view",,,,,"astro-ph",,"  The CNES/European space mission COROT will monitor asteroseismic targets
located in selected fields to probe stellar interiors. Therefore, suitable
candidate targets have to be searched for in order to optimize the scientific
return of the mission. However, to be able to use the asteroseismic tools on
the stars, their physical parameters must be known in advance. In this work, we
detail the process of building a photometric database of all the stars brighter
than V=8.0 mag in the field of view of COROT and the process of selecting
suitable delta Scuti and gamma Dor-type stars for the mission.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 14:25:30 GMT""}]","2007-05-23"
"astro-ph/0312581","Vladimir Ivanov","R.N. Ikhsanov and E.V. Miletsky","Neutrino flux variations and solar activity","14 pages, 6 figures",,,,"astro-ph",,"  We investigate temporal variations of the solar neutrino flux in 1970-1997.
The periods of 11, 5 and 2 years have been found in the variations of the
neutrino flux. The results indicate that a periodicity close to 5 years is the
most significant in the data from both the Homestake and GALLEX experiments.
Two groups of the solar activity indices have been distinguished regarding
their interconnection with the neutrino flux series. The first group contains
the indices showing predominantly 11-year period, while a periodicity at
approximately 5 years is observed in the second group. The correlation
coefficients between the neutrino flux and indices from the first group are
negative, with their module not exceeding 0.5. The second group is
characterized by positive correlation with the neutrino counting rates with
coefficients not lower than 0.6. A discussion of findings is presented.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 15:30:49 GMT""}]","2007-05-23"
"astro-ph/0312582","Denise R. Goncalves","D.R. Goncalves (1), A. Mampaso (1), S. Navarro (1), R.M.L. Corradi (2)
  ((1) Instituto de Astrofisica de Canarias - Tenerife, Spain; (2) Isaac Newton
  Group of Telescopes - La Palma, Spain)","New Results on R Aquarii","5 pages including 3 figures. Talk paper given at ""Symbiotic Stars
  probing Stellar Evolution"", eds. R. Corradi, J. Mikolajewska and T. Mahoney
  (ASP Conf. Ser.). Also available at http://www.iac.es/galeria/denise/",,,,"astro-ph",,"  The first results on new optical data for R Aquarii (based on observations
obtained with the 2.5m INT, the 2.5m NOT and the 3.5m NTT) are presented. The
morphology and kinematics of the nebula, based on data obtained with the NTT
from 1991 to 2000, are discussed. Physical parameters of the outer nebula and
the knotty jet are derived using spectra obtained with the INT in 2001. From
the analysis of all these data we propose that the spectacular knotty inner
structure of R Aqr could result from the interaction of a highly collimated
pulsating young jet with the older hourglass inner nebula.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 14:29:15 GMT""}]","2007-05-23"
"astro-ph/0312583","Pedro J. Amado","R. Garrido, E. Poretti","The study of delta Sct stars in the transition era from ground-based to
  space photometry","4 pages, 2 figures. IAU Colloquium 193 held in Christchurch, New
  Zealand in 2003",,,,"astro-ph",,"  The different research teams involved in the study of delta Sct stars have
slightly changed their strategy in the past years. The observational effort to
secure worldwide coverage of case studies is continued, but the specifications
become more severe, especially about target characterization and frequency
resolution.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 14:35:01 GMT""}]","2007-05-23"
"cond-mat/0312557","Andre Henriques","L.K. Hanamoto, N.F. Oliveira Jr, A.B. Henriques, P. Rappl, E.
  Abramoff, and Y. Ueta","Sharp lines in the absorption edge of EuTe and Pb$_{0.1}$Eu$_{0.9}$Te in
  high magnetic fields","Journal of Physics: Condensed Matter (2004, at press)","J. Phys.: Condens. Matter 16, 5597 (2004)","10.1088/0953-8984/16/30/019",,"cond-mat.mtrl-sci",,"  The optical absorption spectra in the region of the \fd transition energies
of epitaxial layers of of EuTe and \PbEuTe, grown by molecular beam epitaxy,
were studied using circularly polarized light, in the Faraday configuration.
Under \sigmam polarization a sharp symmetric absorption line (full width at
half-maximum 0.041 eV) emerges at the low energy side of the band-edge
absorption, for magnetic fields intensities greater than 6 T. The absorption
line shows a huge red shift (35 meV/T) with increasing magnetic fields. The
peak position of the absorption line as a function of magnetic field is
dominated by the {\em d-f} exchange interaction of the excited electron and the
\Euion spins in the lattice. The {\em d-f} exchange interaction energy was
estimated to be $J_{df}S=0.15\pm 0.01$ eV. In \PbEuTe the same absorption line
is detected, but it is broader, due to alloy disorder, indicating that the
excitation is localized within a finite radius. From a comparison of the
absorption spectra in EuTe and \PbEuTe the characteristic radius of the
excitation is estimated to be $\sim 10$\AA.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 17:51:50 GMT""},{""version"":""v2"",""created"":""Sat, 27 Mar 2004 20:58:00 GMT""},{""version"":""v3"",""created"":""Wed, 31 Mar 2004 21:32:51 GMT""},{""version"":""v4"",""created"":""Sun, 4 Jul 2004 15:07:30 GMT""}]","2020-12-29"
"cond-mat/0312560","Taisei Kaizoji","Taisei Kaizoji and Michiyo Kaizoji","Power law for the calm-time interval of price changes","14 pages, 7 figures","Physica A 336 (2004) 563-570","10.1016/j.physa.2003.12.054",,"cond-mat.stat-mech physics.soc-ph q-fin.ST",,"  In this paper, we describe a newly discovered statistical property of time
series data for daily price changes. We conducted quantitative investigation of
the {\it calm-time intervals} of price changes for 800 companies listed in the
Tokyo Stock Exchange, and for the Nikkei 225 index over a 27-year period from
January 4, 1975 to December 28, 2001. A calm-time interval is defined as the
interval between two successive price changes above a fixed threshold. We found
that the calm-time interval distribution of price changes obeys a power law
decay. Furthermore, we show that the power-law exponent decreases monotonically
with respect to the threshold.
  Keyword: econophysics, stock price changes, calm time interval, power-laws;
PACS: 89.90.+n; 05.40.Df;
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 17:49:59 GMT""},{""version"":""v2"",""created"":""Fri, 17 Mar 2006 08:23:00 GMT""}]","2013-09-11"
"cond-mat/0312561","Peter Horsch","P. Horsch and G. Khaliullin","Charge dynamics of t-J model and anomalous bond-stretching phonons in
  cuprates","Presented at the meeting ""Highlights in Condensed Matter Physics"" in
  honor of the 60th birthday of Prof. Ferdinando Mancini, May 9-11, 2003,
  Salerno, Italy","AIP Conference Proceedings 695, ed. A. Avella et al. (AIP, New
  York, 2003)","10.1063/1.1639577",,"cond-mat.str-el cond-mat.supr-con",,"  The density response of a doped Mott-Hubbard insulator is discussed starting
from the t-J model in a slave boson 1/N representation. In leading order O(1)
the density fluctuation spectra $N({\bf q},\omega)$ are determined by an
undamped collective mode at large momentum transfer, in striking disagreement
with results obtained by exact diagonalization, which reveal a very broad
dispersive peak, reminescent of strong spin-charge coupling. The 1/N
corrections introduce the polaron character of the bosonic holes moving in a
uniform RVB background. The resulting $N({\bf q},\omega)$ captures all features
observed in diagonalization studies, fulfills the appropriate sum rules, and
apart from the broadening of the collective mode shows a new low energy feature
at the energy $\chi J+\delta t$ related to the polaron motion in the spinon
background. It is further shown that the low energy structure, which is
particularly pronounced in $(\pi,0)$ direction, describes the strong
renormalization and anomalous damping of the highest bond-stretching phonons in
La$_{2-x}$Sr$_x$CuO$_4$.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 18:32:57 GMT""}]","2009-11-10"
"cond-mat/0312562","Thomas R. Powers","MunJu Kim, James C. Bird, Annemarie J. Van Parys, Kenneth S. Breuer,
  and Thomas R. Powers","A macroscopic scale model of bacterial flagellar bundling","6 pages, 4 figures (3 in color). A supporting movie is published at
  the PNAS website","Kim et al., Proc. Natl. Acad. Sci. USA 100 (2003) 15481--15485","10.1073/pnas.2633596100",,"cond-mat.soft q-bio.BM",,"  Escherichia coli and other bacteria use rotating helical filaments to swim.
Each cell typically has about four filaments, which bundle or disperse
depending on the sense of motor rotation. To study the bundling process, we
built a macroscopic scale model consisting of stepper-motor-driven polymer
helices in a tank filled with a high-viscosity silicone oil. The Reynolds
number, the ratio of viscous to elastic stresses, and the helix geometry of our
experimental model approximately match the corresponding quantities of the full
scale E. coli cells. We analyze digital video images of the rotating helices to
show that the initial rate of bundling is proportional to the motor frequency
and is independent of the characteristic relaxation time of the filament. We
also determine which combinations of helix handedness and sense of motor
rotation lead to bundling.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 20:24:40 GMT""}]","2009-11-10"
"cond-mat/0312563","Thomas R. Powers","Charles W. Wolgemuth, Raymond E. Goldstein, and Thomas R. Powers","Dynamic supercoiling bifurcations of growing elastic filaments","35 pages, 11 figures","Physica D 190 (2004) 266","10.1016/j.physd.2003.10.007",,"cond-mat.soft q-bio.BM",,"  Certain bacteria form filamentous colonies when the cells fail to separate
after dividing. In Bacillus subtilis, Bacillus thermus, and cyanobacteria, the
filaments can wrap into complex supercoiled structures as the cells grow. The
structures may be solenoids or plectonemes, with or without branches in the
latter case. Any microscopic theory of these morphological instabilities must
address the nature of pattern selection in the presence of growth, for growth
renders the problem nonautonomous and the bifurcations dynamic. To gain insight
into these phenomena, we formulate a general theory for growing elastic
filaments with bending and twisting resistance in a viscous medium, and study
an illustrative model problem: a growing filament with preferred twist, closed
into a loop. Growth depletes the twist, inducing a twist strain. The closure of
the loop prevents the filament from unwinding back to the preferred twist;
instead, twist relaxation is accomplished by the formation of supercoils.
Growth also produces viscous stresses on the filament which even in the absence
of twist produce buckling instabilities. Our linear stability analysis and
numerical studies reveal two dynamic regimes. For small intrinsic twist the
instability is akin to Euler buckling, leading to solenoidal structures, while
for large twist it is like the classic writhing of a twisted filament,
producing plectonemic windings. This model may apply to situations in which
supercoils form only, or more readily, when axial rotation of filaments is
blocked. Applications to specific biological systems are proposed.
","[{""version"":""v1"",""created"":""Sun, 21 Dec 2003 21:31:16 GMT""}]","2010-05-26"
"cond-mat/0312564","Huijie Yang","Huijie Yang, Yun Zhou, Fangcui Zhao, Beilai Hu","Modeling SARS Spreading on Complex Networks","4 figures.Presented in the ""Proceedings of the 1st Cross-Strait
  Conference on Statistical Physics"", Yangzhou, China. Also considered to
  publish in the Int. J. Mod. Phys. B","A revised version is published in Int. J. Mod. Phys. B Vol. 18,
  Nos 17-19 (30 July 2004)2734-2739","10.1142/S0217979204026007",,"cond-mat.stat-mech",,"  The spreading of SARS will destruct the initial network structure to a new
phase, and in turn the spreading process will be weakened effectively and
finally halted by this evolution of network structure. This mechanism is called
immunity of contact network in this paper. What we can do is to accelerate
effectively this process only.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 04:00:45 GMT""}]","2009-11-10"
"cond-mat/0312566","Yuri Nefyodov","M.R.Trunin, Yu.A.Nefyodov, A.F.Shevchun","Superfluid density in the underdoped YBa_2Cu_3O_{7-x}: Evidence for
  d-density wave order of pseudogap","4 pages, 5 figures. To be published in Phys.Rev.Lett","Phys. Rev. Lett. 92, 067006 (2004)","10.1103/PhysRevLett.92.067006",,"cond-mat.supr-con",,"  The investigation of the penetration depth \lambda_{ab}(T,p) in
YBa_2Cu_3O_{7-x} crystals allowed to observe the following features of the
superfluid density n_s(T,p)\propto \lambda_{ab}^{-2}(T,p) as a function of
temperature T<Tc/2 and carrier concentration 0.078\le p\le 0.16 in CuO_2
planes: (i) n_s(0,p) depends linearly on p, (ii) the derivative
|dn_s(T,p)/dT|_{T\to 0} depends on p slightly in the optimally and moderately
doped regions (0.10<p\le 0.16); however, it rapidly increases with p further
lowering and (iii) the latter finding is accompanied by the linear
low-temperature dependence [-\Delta n_s(T)]\propto T changing to [-\Delta
n_s(T)]\propto \sqrt{T}. All these peculiarities can be treated in the
framework of d-density wave scenario of electronic processes in underdoped
high-Tc materials.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 06:29:16 GMT""}]","2007-05-23"
"cond-mat/0312567","Leo Radzihovsky","Leo Radzihovsky (University of Colorado)","Anisotropic and Heterogeneous Polymerized Membranes","48 pgs, 16 eps figures; To appear in the 2nd Edition of the
  ""Statistical Mechanics of Membranes and Surfaces"", edited by D. R. Nelson, T.
  Piran and S. Weinberg"", World Scientific",,"10.1142/9789812565518_0010",,"cond-mat.soft cond-mat.dis-nn",,"  In these lectures I discuss long-scale properties of fluctuating polymerized
membranes in the presence of network anisotropy and random heterogeneities.
Amazingly, even infinitesimal amount of these seemingly innocuous but
physically important ingredients in the membrane's internal structure leads to
a wealth of striking qualitatively new phenomena. Anisotropy leads to a
``tubule'' phase that is intermediate in its properties and location on the
phase diagram between previously discussed ``crumpled'' and ``flat'' phases. At
low temperature, network heterogeneity generates conformationally glassy
phases, with membrane normals exhibiting glass order analogous to spin-glasses.
The common thread to these distinct membrane phases is that they exhibit
universal anomalous elasticity, (singularly length-scale dependent elastic
moduli, universal Poisson ratio, etc.), driven by thermal fluctuations and/or
disorder and controlled by a nontrivial low-temperature fixed point.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 06:36:04 GMT""}]","2016-11-23"
"cond-mat/0312568","Yoshikazu Ohtaki","Yoshikazu Ohtaki, Hiroshi H. Hasegawa","Superstatistics in Econophysics","10 pages, 5 figures",,,,"cond-mat.stat-mech q-fin.ST",,"  We consider an ideal closed stock market, in which 100 traders have economic
activities. The assets of the traders change through buying and selling stocks.
We simulate the assets under conservation of both total currency and total
number of stocks. If the traders are identical, then the assets are distributed
as a stationary Gaussian. When variety among the traders makes winners and
losers, the asset distribution displays power law scaling such as the Pareto
law. We discuss this power law scaling from the point of view of
superstatistics. It is given as a superposition of scaled distributions for
each hierarchical level. The various traders have the same growth rate
distribution to keep the scaling.
","[{""version"":""v1"",""created"":""Mon, 22 Dec 2003 06:47:43 GMT""}]","2008-12-10"
