"astro-ph/0311002","Luis Anchordoqui","Luis A. Anchordoqui, Haim Goldberg, Francis Halzen, and Thomas J.
  Weiler","Galactic Point Sources of TeV Antineutrinos","matches published version","Phys.Lett.B593:42,2004","10.1016/j.physletb.2004.04.054","NUB-3242-Th-03; MADPH-03-1355","astro-ph hep-ph",,"  High energy cosmic ray experiments have identified an excess from the region
of the Galactic Plane in a limited energy range around $10^{18}$ eV (EeV). This
is very suggestive of neutrons as candidate primaries, because the directional
signal requires relatively-stable neutral primaries, and time-dilated neutrons
can reach Earth from typical Galactic distances when the neutron energy exceeds
an EeV. We here point out that if the Galactic messengers are neutrons, then
those with energies below an EeV will decay in flight, providing a flux of
cosmic antineutrinos above a TeV which is {\it observable} at a kilometer-scale
neutrino observatory. The expected event rate per year above 1 TeV in a
detector such as IceCube, for example, is 20 antineutrino showers (all flavors)
and a $1^\circ$ directional signal of 4 $\bar \nu_\mu$ events. A measurement of
this flux can serve to identify the first extraterrestrial point source of TeV
antineutrinos.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 17:33:25 GMT""},{""version"":""v2"",""created"":""Mon, 22 Mar 2004 15:30:12 GMT""},{""version"":""v3"",""created"":""Thu, 19 Aug 2004 15:16:35 GMT""}]","2011-05-12"
"astro-ph/0311044","Alessandro PIzzella","A. Pizzella (1), E.M. Corsini (1), F. Bertola (1), L. Coccato (1), J.
  Magorrian (2), M. Sarzi (2), and J. G. Funes S. J. (3) ((1) Dipartimento di
  Astronomia, Universita' di Padova, Italy, (2) Physics Department, University
  of Oxford, UK, (3) Vatican Observatory, Tucson, USA)","Central DM density cuspiness in LSB's: a stellar kinematics approach","2 pages, 2 figures, to appear in Proc. IAU Symp. 220, ""Dark Matter in
  Galaxies"" eds. S. Ryder, D.J. Pisano, M. Walker, & K. Freeman (San Francisco:
  ASP)",,,,"astro-ph",,"  We present preliminary results from spectroscopic observations of a sample of
11 low surface brightness galaxies (LSB). We measured the stellar and gaseous
kinematics along their major and minor axes. Such information will allow us to
accurately investigate the dark matter (DM) content within their optical
regions, providing further constraints on the predictions of standard CDM
models. Although dynamical modeling is still in progress, our observations
already show that the derived stellar kinematics is more regular than the
ionized gas one, which often shows evidence for non-circular and asymmetric
motions.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 18:18:28 GMT""}]","2007-05-23"
"astro-ph/0311045","Karl Glazebrook","Karl Glazebrook and the GDDS team","Probing the Redshift Desert Using the Gemini Deep Deep Survey: observing
  galaxy mass assembly at z>1","8 pages, 5 figures, write up of talk at IAU Symposium 216 (2003)",,,,"astro-ph",,"  The aim of the Gemini Deep Deep Survey is to push spectroscopic studies of
complete galaxy samples (both red and blue objects) significantly beyond z=1;
this is the redshift where the current Hubble sequence of ellipticals and
spirals is already extant. In the Universe at z=2 the only currently
spectroscopically confirmed galaxies are blue, star-forming and of fragmented
morphology. Exploring this transition means filling the `redshift desert' 1<z<2
where there is a dearth of spectroscopic measurements. To do this we need to
secure redshifts of the oldest, reddest galaxies (candidate ellipticals) beyond
z>1 which has led us to carry out the longest exposure redshift survey ever
done: 100 ksec spectroscopic MOS exposures with GMOS on Gemini North. We have
developed an implementation of the CCD ``nod & shuffle'' technique to ensure
precise sky-subtraction in these ultra-deep exposures. At the halfway mark the
GDDS now has ~36 galaxies in the redshift desert 1.2<z<2 extending up to z=1.97
and I<24.5 with secure redshifts based on weak rest-frame UV absorption
features complete for both red, old objects and young, blue objects. The peak
epoch of galaxy assembly is now being probed by direct spectroscopic
investigation for the first time. On behalf of the GDDS team I present our
first results on the properties of galaxies in the `redshift desert'.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 18:41:42 GMT""}]","2007-05-23"
"astro-ph/0311046","Belli Pierluigi","R. Bernabei (1), P. Belli (1), F. Cappella (1), F. Montecchia (1), F.
  Nozzoli (1), A. Incicchitti (2), D. Prosperi (2), R. Cerulli (3), C.J. Dai
  (4), H.H. Kuang (4), J.M. Ma (4), Z.P. Ye (4) ((1) Univ. and INFN Roma2, (2)
  Univ. and INFN Roma, (3) INFN LNGS, (4) IHEP Beijing)","Results from DAMA/NaI and perspectives for DAMA/LIBRA","Contributed paper to the Conf. ""Beyond the Desert 03"", Rindberg
  Castle, Germany, June 2003","""Beyond the Desert 2003'', Springer (2003), 541",,,"astro-ph",,"  The about 100 kg highly radiopure NaI(Tl) set-up of the DAMA project
(DAMA/NaI) took data over seven annual cycles up to July 2002 and has achieved
results on various rare processes. Its main aim has actually been the
exploitation of the model independent WIMP annual modulation signature. After
this conference the total exposure, collected during the seven annual cycles,
was released. This cumulative exposure (107731 kg day) has given a model
independent evidence for the presence of a Dark Matter particle component in
the galactic halo at 6.3 sigma C.L.; this main result is summarised here. Some
of the many possible corollary model dependent quests for the candidate
particle are mentioned. At present, after about five years of new developments,
a second generation low background set-up (DAMA/LIBRA with a mass of about 250
kg NaI(Tl)) was built and is taking data since March 2003. New R&D efforts
toward a possible NaI(Tl) ton set-up, we proposed in 1996, have been funded and
started in 2003.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 19:15:30 GMT""}]","2009-01-24"
"astro-ph/0311047","Felix J. Lockman","Felix J. Lockman","HI Clouds Beyond the Galactic Disk","8 pages includes 2 figures. To appear in ""How Does the Galaxy Work?"",
  eds. E.J. Alfaro, E. Perez, & J. Franco, Kluwer, Proceedings of a Conference
  held 23-27 June 2003 in Granada, Spain",,"10.1007/1-4020-2620-X_2",,"astro-ph",,"  Recent observations in the 21cm line with the Green Bank Telescope have
changed our view of the neutral interstellar medium (ISM) in several ways. The
new data show that in the inner parts of the Milky Way the disk-halo interface
is composed of many discrete HI clouds. The clouds lie in a layer more than one
kpc thick and follow Galactic rotation. Their origin and evolution is unknown.
In the outer Galaxy, the new data show that the high-velocity cloud Complex H
is likely a satellite on a retrograde orbit interacting with some extended
component of the Milky Way's ISM. These observations place new constraints on
models of the ISM and are directly related to the work of Don Cox and Ron
Reynolds.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 20:26:36 GMT""}]","2015-06-24"
"astro-ph/0311048","Lucio Mayer","Lucio Mayer (University of Zurich), James Wadsley (McMaster
  University), Thomas Quinn (University of Washington), Joachim Stadel
  (University of Zurich)","Giant planet formation from disk instability; cooling and heating","8 pages, 2 figures, to appear in the proceedings of the XIXth IAP
  colloquium ""Extrasolar Planets: Today and Tomorrow"" held in Paris, France,
  2003, June 30 -- July 4, ASP Conf. Series. Images and movies of the
  simulations can be found at http://www.astro.washington.edu/mayer",,,,"astro-ph",,"  We present the results of high resolution SPH simulations of the evolution of
gravitationally unstable protoplanetary disks. We report on calculations in
which the disk is evolved using a locally isothermal or adiabatic equation of
state (with shock heating), and also on new simulations in which cooling and
heating by radiation are explicitly modeled. We find that disks with a minimum
Toomre parameter $< 1.4$ fragment into several gravitationally bound
protoplanets with masses from below to a few Jupiter masses. This is confirmed
also in runs where the disk is given a quiet start, growing gradually in mass
over several orbital times. A cooling time comparable to the orbital time is
needed to achieve fragmentation, for disk masses in the range $0.08-0.1
M_{\odot}$. After about 30 orbital times, merging between the bound
condensations always leads to 2-3 protoplanets on quite eccentric orbits.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 20:59:58 GMT""},{""version"":""v2"",""created"":""Mon, 3 Nov 2003 21:48:40 GMT""}]","2007-05-23"
"astro-ph/0311049","Chung-Pei Ma","Chung-Pei Ma (UC Berkeley), Edmund Bertschinger (MIT)","A Cosmological Kinetic Theory for the Evolution of Cold Dark Matter
  Halos with Substructure: Quasi-Linear Theory","51 pages, 6 figures, ApJ, in press. Minor changes. Old Sec 4 and 6.5
  moved to Appendix A and B","Astrophys.J. 612 (2004) 28-49","10.1086/421766",,"astro-ph cond-mat.stat-mech hep-ph",,"  We present a kinetic theory for the evolution of the phase-space distribution
of dark matter particles in galaxy halos in the presence of a cosmological
spectrum of fluctuations. This theory introduces a new way to model the
formation and evolution of halos, which traditionally have been investigated by
analytic gravitational infall models or numerical N-body methods. Unlike the
collisionless Boltzmann equation, our kinetic equation contains nonzero terms
on the right-hand side arising from stochastic fluctuations in the
gravitational potential due to substructures in the dark matter mass
distribution. Using statistics for constrained Gaussian random fields in
standard cosmological models, we show that our kinetic equation to second-order
in perturbation theory is of the Fokker-Planck form, with one scattering term
representing drift and the other representing diffusion in velocity-space. The
drift is radial, and the drift and diffusion coefficients depend only on
positions and not velocities; our relaxation process in the quasilinear regime
is therefore different from the standard two-body relaxation. We provide
explicit expressions relating these coefficients to the linear power spectrum
of mass fluctuation and present results for the currently favored cold dark
matter model with a nonzero cosmological constant. Solutions to this kinetic
equation will provide a complete description of the cold dark matter spatial
and velocity distributions for the average halo during the early phases of
galaxy halo formation.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 21:00:34 GMT""},{""version"":""v2"",""created"":""Thu, 15 Apr 2004 00:04:33 GMT""}]","2009-11-10"
"astro-ph/0311050","Alicia Soderberg","A. M. Soderberg, S. R. Kulkarni, E. Berger, D. B. Fox, P. A. Price, S.
  A. Yost, M. P. Hunt (Caltech), D. A. Frail, R. C. Walker (NRAO), M. Hamuy, S.
  A. Shectman (Carnegie), J. P. Halpern and N. Mirabal (Columbia University)","A Redshift Determination for XRF 020903: First Spectroscopic
  Observations of an X-Ray Flash","Revised version, as it appears in ApJ","Astrophys.J.606:994-999,2004","10.1086/383082",,"astro-ph",,"  We report the discovery of optical and radio afterglow emission from the
extremely soft X-ray flash, XRF 020903. Our spectroscopic observations provide
the first redshift for an X-ray flash, thereby setting the distance scale for
these events. At $z=0.251$, XRF 020903 is one of the nearest cosmic explosions
ever detected, second only to the recent GRB 030329 and the unusual GRB
980425/SN 1998bw. Moreover, XRF 020903 is the first X-ray flash for which we
detect an optical afterglow. The luminosity of the radio afterglow of XRF
020903 is 1000 times greater than that of Ibc supernovae but similar to those
of GRB afterglows. From broadband afterglow modeling we show that the explosion
energy of XRF 020903 is not dissimilar from values inferred for typical
gamma-ray bursts, suggesting that these cosmological explosions may derive from
a similar mechanism.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 21:02:56 GMT""},{""version"":""v2"",""created"":""Sun, 18 Apr 2004 06:04:26 GMT""},{""version"":""v3"",""created"":""Tue, 6 Dec 2005 21:58:18 GMT""}]","2010-05-12"
"astro-ph/0311051","Manolis Plionis","M.Plionis and H.Tovmassian","On the Xray Luminosity - velocity dispersion relation of groups of
  galaxies","6 pages, Astronomy & Astrophysics, in press","Astron.Astrophys. 416 (2004) 441-446","10.1051/0004-6361:20031725",,"astro-ph",,"  We analyse the Lx-sigma relation for the new Mulchaey et al. group Atlas. We
find that once we take into account the possible statistical bias introduced by
the cutoff in luminosity, we recover a relation which is consistent with that
of clusters, ie., Lx ~ sigma^4. The larger scatter of this relation for groups
of galaxies could be attributed to an orientation effect, due to which the
radial velocity dispersion of groups oriented close to orthogonal to the line
of sight, would be underestimated. This effect could also contribute in the
direction of flattening the slope of the group Lx-sigma relation.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 21:03:53 GMT""}]","2009-11-10"
"astro-ph/0311052","Tommaso Treu","T.Treu (1,2), L.V.E. Koopmans (3), D.J.Sand (2), G.P.Smith (2),
  R.S.Ellis (2) ((1) UCLA, (2) Caltech, (3) STScI)","The dark matter halos of spheroidal galaxies and clusters of galaxies","To appear in the proceedings of IAU Symposium 220 ""Dark matter in
  galaxies"", S. Ryder, D.J. Pisano, M. Walker, and K. Freeman eds",,,,"astro-ph",,"  We describe the first results from two observational projects aimed at
measuring the amount and spatial distribution of dark matter in distant
early-type galaxies (E/S0s) and clusters of galaxies. At the galaxy scale, the
Lenses Structure and Dynamics (LSD) Survey is gathering kinematic data for
distant (up to $z\sim1$) E/S0s that are gravitational lenses. A joint lensing
and dynamical analysis constrains the fraction of dark matter within the
Einstein radius, the mass-to-light ratio of the stellar component, and the
total slope of the mass density profile. These properties and their evolution
with redshift are briefly discussed in terms of the formation and evolution of
E/S0 galaxies and measurement of the Hubble Constant from gravitational time
delay systems. At the cluster scale -- after careful removal of the stellar
component with a joint lensing and dynamical analysis -- systems with giant
radial arcs can be used to measure precisely the inner slope of the dark matter
halo. An HST search for radial arcs and the analysis of a first sample are
briefly discussed in terms of the universal dark matter halos predicted by CDM
simulations.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 21:04:41 GMT""}]","2007-05-23"
"astro-ph/0311053","Mary E. Putman","M.E. Putman (U. Colorado), C. Thom (Swinburne), B.K. Gibson
  (Swinburne), L. Staveley-Smith (ATNF)","The Galaxy's Eating Habits","To appear in IAU Symp. 217, Recycling Intergalactic and Interstellar
  Matter, eds. P. Duc, J. Braine, E. Brinks",,,,"astro-ph",,"  The possibility of a gaseous halo stream which was stripped from the
Sagittarius dwarf galaxy is presented. The total mass of the neutral hydrogen
along the orbit of the Sgr dwarf in the direction of the Galactic anticenter is
4-10 x 10^6 Msun (at 36 kpc, the distance to the stellar debris in this
region). Both the stellar and gaseous components have negative velocities in
this part of the sky, but the gaseous component extends to higher negative
velocities. We suggest this gaseous stream was stripped from the main body of
the dwarf 0.2 - 0.3 Gyr ago during its current orbit after a passage through a
diffuse edge of the Galactic disk with a density > 10^{-4} cm^{-3}. The gas
would then represent the dwarf's last source of star formation fuel and
explains how the galaxy was forming stars 0.5-2 Gyr ago.
","[{""version"":""v1"",""created"":""Mon, 3 Nov 2003 21:05:52 GMT""}]","2007-05-23"
