"astro-ph/0305523","Je-An Gu","Je-An Gu","Kaluza-Klein Burst: a New Mechanism for Generating Ultrahigh-Energy
  Cosmic Rays","13 pages, LaTeX",,,,"astro-ph hep-ph hep-th",,"  By invoking small extra dimensions as a good energy bearer, a new scenario
for understanding the origin of ultrahigh-energy cosmic rays (UHECRs), from
both the bottom-up and the top-down viewpoints, is proposed. We explore the
possibility of generating UHECRs via Kaluza-Klein (KK) bursts, a violent energy
transfer from extra dimensions to ordinary dimensions through collisions
between KK modes, in particular, within clumps of KK modes. The possible scales
of these clumps range from the astronomical, e.g. KK stellar compact objects,
to the microscopic, e.g. ""KKonium"". Advantages of this KK burst model of UHECRs
and possible signatures of clumped KK modes are discussed.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 18:53:45 GMT""},{""version"":""v2"",""created"":""Thu, 10 Nov 2005 21:46:37 GMT""}]","2007-05-23"
"astro-ph/0305551","Tim Bedding","H. Kjeldsen, T. R. Bedding, I. K. Baldry, H. Bruntt, R. P. Butler, D.
  A. Fischer, S. Frandsen, E. L. Gates, F. Grundahl, K. Lang, G. W. Marcy, A.
  Misch and S. S. Vogt","Confirmation of solar-like oscillations in eta Bootis","18 pages, LaTeX with figures. Accepted for publication by AJ","Astron.J. 126 (2003) 1483","10.1086/377315","CAD-030529","astro-ph",,"  We obtained time-series spectroscopy of the G0 subgiant eta Boo in an attempt
to confirm the solar-like oscillations reported by Kjeldsen et al. (1995). We
recorded 1843 spectra over six consecutive nights with the Nordic Optical
Telescope, which we used to measure equivalent widths of strong
temperature-sensitive lines. We also measured velocities from 1989 spectra
obtained through an iodine reference cell at Lick Observatory over 56 nights
that were badly affected by weather. Our analysis also included velocity
measurements published by Brown et al. (1997) and the original equivalent-width
measurements by Kjeldsen et al. (1995). All four data sets show power excesses
consistent with oscillations, although with a range of amplitudes that
presumably reflects the stochastic nature of the excitation. The highest peaks
show regularity with a large separation of Delta nu = 40.4 microHz and we
identify 21 oscillation frequencies from the combined data.
","[{""version"":""v1"",""created"":""Wed, 28 May 2003 23:39:41 GMT""}]","2009-11-07"
"astro-ph/0305552","Eva Schinnerer","E. Schinnerer, T. Boeker, D.S. Meier","Molecular Gas and the Nuclear Star Cluster in IC342: Sufficient Inflow
  for Recurring Star Formation Events?","11 pages, 3 figures, accepted by ApJL","Astrophys.J. 591 (2003) L115-L118","10.1086/377118",,"astro-ph",,"  We present high spatial resolution (1.2"") mm-interferometric observations of
the CO(2-1) line emission in the central 300pc of the late-type spiral galaxy
IC342. The data, obtained with the Owens Valley Radio Observatory, allow
first-time detection of a molecular gas disk that coincides with the luminous
young stellar cluster in the nucleus of IC342. The nuclear CO disk has a
diameter of ~30pc and a molecular gas mass of M(H2) ~ 2x10^5 M_sun. It connects
via two faint CO bridges to the well-known, 100pc diameter circumnuclear gas
ring. Analysis of the gas kinematics shows that the line-of-nodes in the inner
15pc is offset by about 45degree from the major kinematic axis, indicating
non-circular motion of the gas within a few parsec of the dynamical center of
IC342. Both the morphology and the kinematics of the CO gas indicate ongoing
inflow of molecular gas into the central few parsec of IC342. We infer a gas
inflow rate between 0.003 and 0.14 M_sun/yr, based on the observed surface
density of the nuclear gas disk and estimates of the radial velocities of the
surrounding gas. Inflow rates of this order can support repetitive star
formation events in the nucleus of IC342 on timescales much smaller than a
Hubble time.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 03:41:36 GMT""}]","2009-11-07"
"astro-ph/0305553","Marcus Runyan","M. C. Runyan (1 and 2), P. A. R. Ade (4), J. J. Bock (5), J. R. Bond
  (6), C. Cantalupo (7), C. R. Contaldi (6), M. D. Daub (8), J. H. Goldstein (9
  and 10), P. L. Gomez (11), W. L. Holzapfel (8), C. L. Kuo (8 and 12), A. E.
  Lange (1), M. Lueker (8), M. Newcomb (8), J. B. Peterson (11), D. Pogosyan
  (6), A. K. Romer (11), J. Ruhl (9), E. Torbet (10), D. Woolsey (8) ((1)
  Caltech, (2) Chicago, (4) Cardiff, (5) JPL, (6) CITA, (7) LBL, (8) UCB
  Physics, (9) CWRU, (10) UCSB, (11) CMU, (12) UCB Astro)","First Results from the Arcminute Cosmology Bolometer Array Receiver","To be published in the proceedings of ""The Cosmic Microwave
  Background and its Polarization"", New Astronomy Reviews, (eds. S. Hanany and
  K.A. Olive). 10 pages, 2 figures",,"10.1016/j.newar.2003.09.001",,"astro-ph",,"  We review the first science results from the Arcminute Cosmology Bolometer
Array Receiver (ACBAR); a multifrequency millimeter-wave receiver optimized for
observations of the Cosmic Microwave Background (CMB) and the
Sunyaev-Zel'dovich (SZ) effect in clusters of galaxies. ACBAR was installed on
the 2 m Viper telescope at the South Pole in January 2001 and the results
presented here incorporate data through July 2002. We present the power
spectrum of the CMB at 150 GHz over the range \ell = 150 - 3000 measured by
ACBAR as well as estimates for the values of the cosmological parameters within
the context of Lambda-CDM models. We find that the inclusion of Omega_Lambda
greatly improves the fit to the power spectrum. We also observe a slight excess
of small-scale anisotropy at 150 GHz; if interpreted as power from the SZ
effect of unresolved clusters, the measured signal is consistent with CBI and
BIMA within the context of the SZ power spectrum models tested.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 01:46:35 GMT""}]","2015-06-24"
"astro-ph/0305554","Sebastien Lepine","Sebastien Lepine, R. Michael Rich, and Michael M. Shara","LSR1610-0040: the first early-type L subdwarf","To appear in The Astrophysical Journal Letters","Astrophys.J. 591 (2003) L49-L52","10.1086/377069",,"astro-ph",,"  We report the discovery of LSR1610-0040, a previously unreported r=17.5 star
with a very high proper motion mu=1.46""/yr. This very cool star (b-i=6.3) is
found to have a peculiar spectrum that does not fit into the standard sequence
of late-M dwarfs and L dwarfs. Rather, the spectrum is more typical of an
ultra-cool subdwarf, with weak bands of TiO and no detectable VO. But because
LSR1610-0040 is so much redder than any other sdM known, and because it does
not appear to fit well into the sdM sequence, we propose that LSR1610-0040 be
assigned a spectral type sdL, making it the first early-type L subdwarf known.
Evidence suggests that LSR1610-0040 is an old, metal-poor star whose mass is
just above the limit of hydrogen burning (M ~ 0.08 M_sun).
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 03:56:39 GMT""},{""version"":""v2"",""created"":""Wed, 11 Jun 2003 15:10:39 GMT""}]","2009-11-07"
"astro-ph/0305555","Takashi Yoshida","T. Yoshida, M. Terasawa, T. Kajino, K. Sumiyoshi","Nucleosynthesis of Light Elements and Heavy r-Process Elements through
  the nu-Process in Supernova Explosion","29 pages, 5 figures, Astrophys. J., in press","Astrophys.J. 600 (2004) 204-213","10.1086/379766",,"astro-ph",,"  We study the nucleosyntheses of the light elements 7Li and 11B and the
r-process elements in Type II supernovae from the point of view of supernova
neutrinos and Galactic chemical evolution. We investigate the influence of the
luminosity and average energy (temperature) of supernova neutrinos on these two
nucleosynthesis processes. Common models of the total energy E_nu and the decay
time of the neutrino luminosity tau_nu of supernova neutrinos are adopted to
understand both processes. We adopt the model of the supernova explosion of a
16.2 M_odot star, which corresponds to SN 1987A, and calculate the
nucleosynthesis of the light elements by the postprocessing. We find that the
ejected masses of 7Li and 11B are roughly proportional to the total neutrino
energy and weakly dependent on the decay time of the neutrino luminosity. As
for the r-process nucleosynthesis, we adopt the same models of the neutrino
luminosity in the neutrino-driven wind models of a 1.4 M_odot neutron star. We
find that the r-process nucleosynthesis is affected through the peak neutrino
luminosity, which depends on E_nu/tau_nu. We also discuss the unresolved
problem of the overproduction of 11B in the Galactic chemical evolution of the
light elements. We have to assume E_{nu} < 1.2 \times 10^{53} ergs to avoid the
overproduction of 11B, which is too small to accept in comparison to 3.0 \times
10^{53} ergs deduced from the observation of SN1987A. We propose to reduce the
temperature of nu_{mu, tau} and their anti-particles to T_{nu_{mu, tau}} =
T_{bar{nu}_{mu,tau}} = 6.0 MeV/k. This modification of the neutrino temperature
is shown to resolve the overproduction problem of 11B while still keeping a
successful r-process abundance pattern.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 03:53:00 GMT""},{""version"":""v2"",""created"":""Fri, 21 Nov 2003 08:29:07 GMT""}]","2009-11-07"
"astro-ph/0305557","Svertilov Sergey","Victor I. Denisov and Sergey I. Svertilov","Vacuum nonlinear electrodynamic effects in hard emission of pulsars and
  magnetars","14 pages, 4 figures","Astron.Astrophys. 399 (2003) L39-L42","10.1051/0004-6361:20030083",,"astro-ph",,"  The possibilities of observing some nonlinear electrodynamic effects, which
can be manifested in hard emission of X-ray, gamma ray pulsars and magnetars by
X-ray and gamma ray astronomy methods are discussed. The angular resolution and
sensitivity of modern space observatories give the opportunity to study the
nonlinear electrodynamic effects, which can occur in very strong magnetic
fields of pulsars ($B\sim 10^{12}$ G) and magnetars ($B\sim 10^{15}$ G). Such
magnetic field magnitudes are comparable with the typical value of magnetic
field induction necessary for manifestation of electrodynamics non-linearity in
vacuum. Thus, near a magneticneutron star the electromagnetic emission should
undergo nonlinear electrodynamic effects in strong magnetic fields (such as
bending of rays, fluxes dispersing, changing of spectra and polarization
states). Manifestations of these effects in detected hard emission from
magnetic neutron stars are discussed on the base of nonlinear generalizations
of the Maxwell equation in vacuum. The dispersion equations for electromagnetic
waves propagating in the magnetic dipole field were obtained in the framework
of these theories.The possibility of observing the bending of a ray and gamma
ray flux dispersing in the neutron star magnetic field are analyzed. The only
nonlinear electrodynamicseffect, which can be measured principally, is the
effect of gamma ray flux dispersion by the neutron star magnetic field.
Studying this effect we can also obtain information on the nonlinear
electrodynamics bending of a ray in the source. The main qualitative difference
in predictions of different nonlinear electrodynamics theories are discussed.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 07:02:34 GMT""}]","2009-11-07"
"astro-ph/0305558","Pino Di Sciascio","G. Di Sciascio (1), C. Bleve (2), T. Di Girolamo (1), D. Martello (2),
  E. Rossi (1) (for the ARGO-YBJ Collaboration) ((1) Dip. di Fisica Universita'
  di Napoli and INFN sez. di Napoli, Napoli, Italy (2) Dip. di Fisica
  Universita' di Lecce and INFN sez. di Lecce, Lecce, Italy)","Identification of Showers with Cores Outside the ARGO-YBJ Detector","4 pages, to be published in the Proceedings of the 28th International
  Cosmic Ray Conference (Tsukuba, Japan 2003)",,,,"astro-ph",,"  In any EAS array, the rejection of events with shower cores outside the
detector boundaries is of great importance. A large difference between the true
and the reconstructed shower core positions may lead to a systematic
miscalculation of some shower characteristics. Moreover, an accurate
determination of the shower core position for selected internal events is
important to reconstruct the primary direction using conical fits to the shower
front, improving the detector angular resolution, or to performe an efficient
gamma/hadron discrimination. In this paper we present a procedure able to
identify and reject showers with cores outside the ARGO-YBJ carpet boundaries.
A comparison of the results for gamma and proton induced showers is reported.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 08:00:21 GMT""}]","2019-08-15"
"astro-ph/0305559","Pedro Gonzalez","Pedro F. Gonzalez-Diaz (IMAFF, CSIC, Madrid)","You need not be afraid of phantom energy","4 pages, RevTex, to appear as a Rapid Communication in Phys. Rev. D","Phys.Rev. D68 (2003) 021303","10.1103/PhysRevD.68.021303","IMAFF-RCA-03-04","astro-ph",,"  Phantom energy which violates the dominant-energy condition and is not
excluded by current constraints on the equation of state may be dominating the
evolution of the universe now. It has been pointed out that in such a case the
fate of the universe may be a big rid where the expansion is so violent that
all galaxies, planet and even atomic nuclei will be successively ripped apart
in finite time. Here we show however that there are certain unified models for
dark energy which are stable to perturbations in matter density where the
presence of phantom energy does not lead to such a cosmic doomsday.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 09:02:59 GMT""}]","2009-11-07"
"astro-ph/0305560","Pino Di Sciascio","L. Saggese (1), G. Di Sciascio (1), M. Iacovacci (1), S. Mastroianni
  (1), S. Vernetto (2) (for the ARGO-YBJ Collaboration) ((1) Dip. di Fisica
  Universita' di Napoli and INFN sez. di Napoli, Italy (2) IFSI-CNR and INFN,
  Torino, Italy)","Sensitivity of the ARGO-YBJ strip size spectrum to different models of
  the primary cosmic ray composition in the energy range 10 - 500 TeV","4 pages, to be published in the Proceedings of the 28th International
  Cosmic Ray Conference (Tsukuba, Japan 2003)",,,,"astro-ph",,"  The ARGO-YBJ experiment is currently under construction at the Yangbajing
Cosmic Ray Laboratory (4300 m a.s.l.). The detector will cover 74 X 78 m^2 with
a single layer of Resistive Plate Counters (RPCs), surrounded by a partially
instrumented guard ring. Signals from each RPC are picked-up with 80 read out
strips 6 cm wide and 62 cm long. These strips allow one to count the particle
number of small size air showers. In this paper we discuss the digital response
of the detector for showers with core located in a small fiducial area inside
the carpet. The results enable us to assess the sensitivity of the strip size
spectrum measurement to discriminate between different models of the Primary
Cosmic Ray composition in the energy range 10 - 500 TeV.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 09:04:59 GMT""}]","2019-08-15"
"astro-ph/0305561","Gloria Andreuzzi","G. Andreuzzi (1), A. Bragaglia (2), M. Tosi (2), G. Marconi (3) ((1)
  INAF-Osservatorio Astronomico di Roma (Italy), (2) INAF-Osservatorio
  Astronomico di Bologna, (3) ESO (Chile))","TNG photometry of the open cluster NGC 6939","4 pages, 4 figures, proceedings of ""Stars in Galaxies"", La Palma
  2003. To appear in MmSAI. Uses mem.cls",,,,"astro-ph",,"  We present CCD UBVI photometry of the intermediate age open cluster NGC 6939
for three TNG-DOLORES fields. The fields A and B cover the center of the
cluster; the third one is located about 30 arcmin away, and is used for field
stars decontamination.
  The V-I, B-V and U-B color-magnitude diagrams (CMDs), obtained joining very
different exposures show: i) a Main Sequence (MS) extending down to V = 24,
much deeper (~ 5 magnitudes) than any previous study; ii) a clearly defined
Turn Off (TO) and iii) a well populated Red Giant Clump (RC) at about V = 13.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 09:43:17 GMT""}]","2007-05-23"
"astro-ph/0305562","Stephen Hawking","Stephen Hawking","Cosmology from the Top Down","Talk presented at Davis Inflation Meeting, 2003 (astro-ph/0304225)",,,"DavisInflation/2003/pelly","astro-ph",,"  Cosmology from the Top Down.
","[{""version"":""v1"",""created"":""Thu, 29 May 2003 10:59:51 GMT""}]","2007-05-23"
