"astro-ph/0310780","Stanislav Boldyrev","Stanislav Boldyrev and Fausto Cattaneo (U. Chicago)","On magnetic field generation in Kolmogorov turbulence","4 pages, revised, new material added","Phys.Rev.Lett. 92 (2004) 144501","10.1103/PhysRevLett.92.144501",,"astro-ph physics.flu-dyn",,"  We analyze the initial, kinematic stage of magnetic field evolution in an
isotropic and homogeneous turbulent conducting fluid with a rough velocity
field, v(l) ~ l^alpha, alpha<1. We propose that in the limit of small magnetic
Prandtl number, i.e. when ohmic resistivity is much larger than viscosity, the
smaller the roughness exponent, alpha, the larger the magnetic Reynolds number
that is needed to excite magnetic fluctuations. This implies that numerical or
experimental investigations of magnetohydrodynamic turbulence with small
Prandtl numbers need to achieve extremely high resolution in order to describe
magnetic phenomena adequately.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 18:39:56 GMT""},{""version"":""v2"",""created"":""Wed, 26 Nov 2003 18:07:55 GMT""}]","2007-05-23"
"astro-ph/0310806","Peter Erwin","Peter Erwin (Instituto de Astrofisica de Canarias)","Double-Barred Galaxies: I. A Catalog of Barred Galaxies with Stellar
  Secondary Bars and Inner Disks","LaTeX, 25 pages, 6 EPS figures. Typos fixed and title slightly
  altered; accepted by Astronomy & Astrophysics. Version with full-resolution
  figures available at http://www.iac.es/galeria/erwin/research/","Astron.Astrophys. 415 (2004) 941-957","10.1051/0004-6361:20034408",,"astro-ph",,"  I present a catalog of 67 barred galaxies which contain distinct, elliptical
stellar structures inside their bars. Fifty of these are double-barred
galaxies: a small-scale, ""inner"" or ""secondary"" bar is embedded within a
large-scale, ""outer"" or ""primary"" bar. I provide homogenized measurements of
the sizes, ellipticities, and orientations of both inner and outer bars, along
with with global parameters for the galaxies. The other 17 are classified as
""inner-disk"" galaxies, where a large-scale bar harbors an inner elliptical
structure which is aligned with the galaxy's outer disk. Four of the
double-barred galaxies also possess inner disks, located in between the inner
and outer bars. While the inner-disk classification is ad-hoc -- and
undoubtedly includes some inner bars with chance alignments (five such probable
cases are identified) -- there is good evidence that inner disks form a
statistically distinct population, and that at least some are indeed disks
rather than bars. In addition, I list 36 galaxies which may be double-barred,
but for which current observations are ambiguous or incomplete, and another 23
galaxies which have been previously suggested as potentially being
double-barred, but which are probably *not*. False double-bar identifications
are usually due to features such as nuclear rings and spirals being
misclassified as bars; I provide some illustrated examples of how this can
happen.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 20:25:02 GMT""},{""version"":""v2"",""created"":""Sun, 14 Dec 2003 00:06:50 GMT""}]","2009-11-10"
"astro-ph/0310807","Letizia Stanghellini","Letizia Stanghellini","Magellanic Cloud planetary nebulae as probes of stellar evolution and
  populations","to be published in the proceedings of ""The Local Group as an
  Astrophysical Laboratory"", May Symposium held in May 2003, STScI",,,,"astro-ph",,"  Planetary Nebulae (PNs) in the Magellanic Clouds offer the unique opportunity
to study both the population and evolution of low- and intermediate-mass stars,
in an environment that is free of the distance scale bias and the differential
reddening that hinder the observations of the Galactic sample. The study of LMC
and SMC PNs also offers the direct comparison of stellar populations with
different metallicity. The relative proximity of the Magellanic Clouds allows
detailed spectroscopic analysis of the PNs therein, while the Hubble Space
Telescope (HST) is necessary to obtain their spatially-resolved images. In this
paper we discuss the history and evolution of this relatively recent branch of
stellar astrophysics by reviewing the pioneering studies, and the most recent
ground- and space-based achievements. In particular, we present the results
from our recent HST surveys, including the metallicity dependence of PN
identification (and, ultimately, the metallicity dependence of PN counts in
galaxies); the morphological analysis of Magellanic PNs, and the correlations
between morphology and other nebular properties; the relations between
morphology and progenitor mass and age; and the direct analysis of Magellanic
central stars and their importance to stellar evolution. Our morphological
results are broadly consistent with the predictions of stellar evolution if the
progenitors of asymmetric PNs have on average larger masses than the
progenitors of symmetric PNs, without any assumption or relation to binarity of
the stellar progenitors.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 19:58:28 GMT""}]","2007-05-23"
"astro-ph/0310808","Tamara M. Davis","Tamara M. Davis and Charles H. Lineweaver","Expanding Confusion: common misconceptions of cosmological horizons and
  the superluminal expansion of the Universe","To appear in Publications of the Astronomical Society of Australia,
  26 pages (preprint format), 6 figures. Version 2: Section 4.1 revised",,"10.1071/AS03040",,"astro-ph",,"  We use standard general relativity to illustrate and clarify several common
misconceptions about the expansion of the Universe. To show the abundance of
these misconceptions we cite numerous misleading, or easily misinterpreted,
statements in the literature. In the context of the new standard Lambda-CDM
cosmology we point out confusions regarding the particle horizon, the event
horizon, the ``observable universe'' and the Hubble sphere (distance at which
recession velocity = c). We show that we can observe galaxies that have, and
always have had, recession velocities greater than the speed of light. We
explain why this does not violate special relativity and we link these concepts
to observational tests. Attempts to restrict recession velocities to less than
the speed of light require a special relativistic interpretation of
cosmological redshifts. We analyze apparent magnitudes of supernovae and
observationally rule out the special relativistic Doppler interpretation of
cosmological redshifts at a confidence level of 23 sigma.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 21:15:10 GMT""},{""version"":""v2"",""created"":""Thu, 13 Nov 2003 00:01:15 GMT""}]","2009-11-10"
"astro-ph/0310809","David Gilbank","David G. Gilbank, Richard G. Bower, F. J. Castander, B. L. Ziegler","Exploring the Selection of Galaxy Clusters and Groups: An Optical Survey
  for X-ray Dark Clusters","Accepted for publication in MNRAS. 31 pages, 38 figures. Full
  resolution version available at http://star-www.dur.ac.uk/~dgg/xdcs1.ps.gz","Mon.Not.Roy.Astron.Soc. 348 (2004) 551","10.1111/j.1365-2966.2004.07335.x",,"astro-ph",,"  Data from a new, wide field, coincident optical and X-ray survey, the X-ray
Dark Cluster Survey (XDCS) are presented. This survey comprises simultaneous
and independent searches for clusters of galaxies in the optical and X-ray
passbands. Optical cluster detection algorithms implemented on the data are
detailed. Two distinct optically selected catalogues are constructed, one based
on I-band overdensity, the other on overdensities of colour-selected galaxies.
The superior accuracy of the colour-selection technique over that of the single
passband method is demonstrated, via internal consistency checks and comparison
with external spectroscopic redshift information. This is compared with an
X-ray selected cluster catalogue. In terms of gross numbers, the survey yields
185 I-band selected, 290 colour selected and 15 X-ray selected systems,
residing in ~11deg^2 of optical + X-ray imaging. The relationship between
optical richness/ luminosity and X-ray luminosity is examined, by measuring
X-ray luminosities at the positions of our 290 colour-selected systems. Power
law correlations between the optical richness/ luminosity versus X-ray
luminosity are fitted, both exhibiting approximately 0.2 dex of intrinsic
scatter. Interesting outliers in these correlations are discussed in greater
detail. Spectroscopic follow up of a subsample of X-ray underluminous systems
confirms their reality.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 21:10:51 GMT""}]","2009-11-10"
"astro-ph/0310810","Tareq Abu-Zayyad","T. Abu-Zayyad, C.C.H. Jui, E.C. Loh","The Effect of Clouds on Air Showers Observation from Space","31 pages, 13 figures","Astropart.Phys. 21 (2004) 163-182","10.1016/j.astropartphys.2004.01.001",,"astro-ph",,"  Issues relating to extensive air showers observation by a space-borne
fluorescence detector and the effects of clouds on the observations are
investigated using Monte Carlo simulation. The simulations assume the presence
of clouds with varying altitudes and optical depths. Simulated events are
reconstructed assuming a cloud-free atmosphere. While it is anticipated that
auxiliary instruments, such as LIDAR (LIght Detection And Ranging), will be
employed to measure the atmospheric conditions during actual observation, it is
still possible that these instruments may fail to recognize the presence of a
cloud in a particular shower observation. The purpose of this study is to
investigate the effects on the reconstructed shower parameters in such cases.
Reconstruction results are shown for both monocular and stereo detectors and
for the two limiting cases of optically thin, and optically thick clouds.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 21:12:46 GMT""}]","2009-11-10"
"astro-ph/0310811","Neal J. Evans II","Neal J. Evans II and the c2d Team","From Molecular Cores to Planet-forming Disks with SIRTF","6 pages, from Fourth Cologne-Bonn-Zermatt-Symposium, The Dense
  Interstellar Matter in Galaxies",,"10.1007/978-3-642-18902-9_61",,"astro-ph",,"  The SIRTF mission and the Legacy programs will provide coherent data bases
for extra-galactic and Galactic science that will rapidly become available to
researchers through a public archive. The capabilities of SIRTF and the six
legacy programs are described briefly. Then the cores to disks (c2d) program is
described in more detail. The c2d program will use all three SIRTF instruments
(IRAC, MIPS, and IRS) to observe sources from molecular cores to protoplanetary
disks, with a wide range of cloud masses, stellar masses, and star-forming
environments. The SIRTF data will stimulate many follow-up studies, both with
SIRTF and with other instruments.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 21:16:51 GMT""}]","2017-01-18"
"astro-ph/0310812","Ray Jayawardhana","Ray Jayawardhana","Between Cool Stars and Hot Planets: Origins of Brown Dwarfs","to appear in proceedings of IAU Symposium 219: ""Stars as Suns:
  Activity, Evolution, Planets""",,,,"astro-ph",,"  Brown dwarfs, which straddle the mass range between stars and planets, appear
to be common both in the solar neighborhood and in star-forming regions. Their
ubiquity makes the question of their origin an important one both for our
understanding of brown dwarfs themselves as well as for theories on the
formation of stars and planets. Studies of young sub-stellar objects could
provide valuable insight into their formation and early evolution. Here I
report on the latest results from our observational programs at Keck, VLT and
Magellan on the disk and accretion properties of young brown dwarfs. We find
compelling evidence that they undergo a T Tauri phase analogous to that of
their stellar counterparts.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 22:13:02 GMT""}]","2007-05-23"
"astro-ph/0310813","Sean Moran","Sean M. Moran, Marc J. Kuchner and Matthew J. Holman","The Dynamical Influence of a Planet at Semimajor Axis 3.4 AU on the Dust
  Around Epsilon Eridani","22 pages, 9 figures, accepted by ApJ 05/13/04","Astrophys.J. 612 (2004) 1163-1170","10.1086/422796",,"astro-ph",,"  Precise-Doppler experiments suggest that a massive (m sin i=0.86 M_J) planet
orbits at semimajor axis a=3.4 AU around Epsilon Eridani, a nearby star with a
massive debris disk. The dynamical perturbations from such a planet would mold
the distribution of dust around this star. We numerically integrated the orbits
of dust grains in this system to predict the central dust cloud structure. For
a supply of grains that begin in low-inclination, low-eccentricity orbits at 15
AU, the primary feature of the dust distribution is a pair of dense clumps,
containing dust particles trapped in mean-motion resonances of the form n:1.
These clumps appear to revolve around the star once every two planet
revolutions. Future observations with the IRAM Plateau de Bure Interferometer,
the SMA, or ALMA could detect these clumps, confirming the existence of the
planet and revealing its location.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 22:22:12 GMT""},{""version"":""v2"",""created"":""Thu, 13 May 2004 23:37:04 GMT""}]","2009-11-10"
"astro-ph/0310814","Jason X. Prochaska","Jason X. Prochaska (UCO/Lick Observatory)","Chemical Abundances in the Damped Lya Systems","14 pages, 7 figures; a refereed review paper to appear in Carnegie
  Observatories Astrophysics Series, Vol. 4: Origin and Evolution of the
  Elements, ed. A. McWilliam & M. Rauch (Cambridge: Cambridge Univ. Press)",,,,"astro-ph",,"  I introduce and review the data and analysis techniques used to measure
abundances in the damped Lya systems, quasar absorption-line systems associated
with galaxies in the early Universe. The observations and issues associated
with their abundance analysis are very similar to those of the Milky Way's
interstellar medium. We measure gas-phase abundances and are therefore subject
to the effects of differential depletion. I review the impact of dust depletion
and then present a summary of current results on the age-metallicity relation
derived from damped Lya systems and new results impacting theories of
nucleosynthesis in the early Universe.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 22:31:08 GMT""}]","2007-05-23"
"astro-ph/0310815","Julia C. Lee","Julia C. Lee","Probing X-ray Emitting Plasma with High Resolution Chandra and
  XMM-Newton Spectra","Invited review at XXVth IAU General Assembly : Joint Discussion on
  Atomic Data for X-ray Astronomy; 4 pages",,,,"astro-ph",,"  Highlights of interesting astrophysical discoveries are reviewed in the
context of high resolution X-ray spectroscopy made possible with Chandra and
XMM-Newton, and its relevance to atomic physics calculations and measurements
is discussed. These spectra have shown that the overlap between astrophysics
and atomic physics is stronger than ever, as discoveries of new X-ray lines and
edge structure is matching the need for increasingly detailed theoretical
calculations and experimental measurements of atomic data.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 23:21:12 GMT""}]","2007-05-23"
"astro-ph/0310816","Thorsten Lisker","T. Lisker (1), U. Heber (1), R. Napiwotzki (1), N. Christlieb (2), D.
  Reimers (2), D. Homeier (3) ((1) Dr. Remeis Sternwarte, Bamberg, Germany, (2)
  Hamburger Sternwarte, Hamburg, Germany, (3) University of Georgia, Athens,
  USA)","Spectroscopic analysis of sdB stars from the ESO Supernova Ia Progenitor
  Survey","8 pages, 6 figures. To appear in ""Extreme Horizontal Branch Stars and
  Related Objects"", Astrophysics and Space Science, Kluwer Academic Publishers,
  edited by P. F. L. Maxted","Astrophys.Space Sci. 291 (2004) 351-358","10.1023/B:ASTR.0000044343.94946.51",,"astro-ph",,"  We report on the analysis of high-resolution optical spectra for 77 subdwarf
B (sdB) stars from the ESO Supernova Ia Progenitor Survey. Effective
temperature, surface gravity, and photospheric helium abundance are determined
simultaneously by spectral line profile fitting of hydrogen and helium lines,
and are found to be in agreement with previous studies of sdB stars. 24 objects
show spectral signs of a cool companion, being either companion absorption
lines or a flux contribution at Halpha. Five stars with relatively high
luminosity show peculiar Halpha profiles, possibly indicating stellar winds.
Our results are compared to recent theoretical simulations by Han et al. (2003)
for the distribution in effective temperature and surface gravity, and are
found to agree very well with these calculations. Finally we present a binary
system consisting of two helium-rich hot subdwarfs.
","[{""version"":""v1"",""created"":""Tue, 28 Oct 2003 23:03:21 GMT""}]","2009-11-10"
"astro-ph/0310817","Mordecai-Mark Mac Low","Mordecai-Mark Mac Low (Amer. Mus. Natural Hist.), Miguel A. de Avillez
  (U. Evora) and Maarit J. Korpi (U. Oulu & Obs. Midi-Pyrenees)","The Turbulent Interstellar Medium: Insights and Questions from Numerical
  Models","9 pages in astro-ph version, four reduced resolution color figures,
  to be published in How Does the Galaxy Work?, eds. E. J. Alfaro, E. P\'erez,
  J. Franco (Kluwer, Dordrecht)",,"10.1007/1-4020-2620-X_69",,"astro-ph",,"  ""The purpose of numerical models is not numbers but insight."" (Hamming) In
the spirit of this adage, and of Don Cox's approach to scientific speaking, we
discuss the questions that the latest generation of numerical models of the
interstellar medium raise, at least for us. The energy source for the
interstellar turbulence is still under discussion. We review the argument for
supernovae dominating in star forming regions. Magnetorotational instability
has been suggested as a way of coupling disk shear to the turbulent flow.
Models make evident that the unstable wavelengths are very long compared to
thermally unstable wavelengths, with implications for star formation in the
outer galaxy and low surface brightness disks. The perennial question of the
factors determining the hot gas filling factor in a SN-driven medium remains
open, in particular because of the unexpectedly strong turbulent mixing at the
boundaries of hot cavities seen in the models. The formation of molecular
clouds in the turbulent flow is also poorly understood. Dense regions suitable
for cloud formation clearly form even in the absence of self-gravity, although
their ultimate evolution remains to be computed.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 00:02:20 GMT""}]","2015-06-24"
"astro-ph/0310818","Geraint F. Lewis","Geraint F. Lewis, Rodrigo A. Ibata","Gravitational microlensing of quasar broad line regions at large optical
  depths","10 pages, to appear in MNRAS. Resolution of several figures reduced","Mon.Not.Roy.Astron.Soc. 348 (2004) 24","10.1111/j.1365-2966.2004.07349.x","GFL-001","astro-ph",,"  Recent estimates of the scale of structures at the heart of quasars suggest
that the region responsible for the broad line emission are smaller than
previously thought. With this revision of scale, the broad line region is
amenable to the influence of gravitational microlensing. This study
investigates the influence on microlensing at high optical depth on a number of
current models of the Broad Line Region (BLR). It is found that the BLR can be
significantly magnified by the action of microlensing, although the degree of
magnification is dependent upon spatial and kinematic structure of the BLR.
Furthermore, while there is a correlation between the microlensing fluctuations
of the continuum source and the BLR, there is substantial scatter about this
relation, revealing that broadband photometric monitoring is not necessarily a
guide to microlensing of the BLR. The results of this study demonstrate that
the spatial and kinematic structure within the BLR may be determined via
spectroscopic monitoring of microlensed quasars.
","[{""version"":""v1"",""created"":""Wed, 29 Oct 2003 02:00:56 GMT""}]","2009-11-10"
