"astro-ph/0309800","Neal Weiner","Rob Fardon, Ann E. Nelson, and Neal Weiner (UW)","Dark Energy from Mass Varying Neutrinos","26 pages, 3 figures, refs added, typos corrected, comment added about
  possible matter effects","JCAP 0410:005,2004","10.1088/1475-7516/2004/10/005","UW/PT 03-22","astro-ph hep-ph hep-th",,"  We show that mass varying neutrinos (MaVaNs) can behave as a negative
pressure fluid which could be the origin of the cosmic acceleration. We derive
a model independent relation between the neutrino mass and the equation of
state parameter of the neutrino dark energy, which is applicable for general
theories of mass varying particles. The neutrino mass depends on the local
neutrino density and the observed neutrino mass can exceed the cosmological
bound on a constant neutrino mass. We discuss microscopic realizations of the
MaVaN acceleration scenario, which involve a sterile neutrino. We consider
naturalness constraints for mass varying particles, and find that both ev
cutoffs and ev mass particles are needed to avoid fine-tuning. These
considerations give a (current) mass of order an eV for the sterile neutrino in
microscopic realizations, which could be detectable at MiniBooNE. Because the
sterile neutrino was much heavier at earlier times, constraints from big bang
nucleosynthesis on additional states are not problematic. We consider regions
of high neutrino density and find that the most likely place today to find
neutrino masses which are significantly different from the neutrino masses in
our solar system is in a supernova. The possibility of different neutrino mass
in different regions of the galaxy and the local group could be significant for
Z-burst models of ultra-high energy cosmic rays. We also consider the cosmology
of and the constraints on the ``acceleron'', the scalar field which is
responsible for the varying neutrino mass, and briefly discuss neutrino density
dependent variations in other constants, such as the fine structure constant.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 19:40:39 GMT""},{""version"":""v2"",""created"":""Mon, 3 Nov 2003 20:25:51 GMT""}]","2009-11-10"
"astro-ph/0309834","Sergey Pavluchenko","S. A. Pavluchenko","Constraints on inflation in closed universe","5 pages, 5 figures; extended version","Phys.Rev.D69:021301,2004","10.1103/PhysRevD.69.021301",,"astro-ph",,"  We investigate inflation in closed Friedmann-Robertson-Walker universe filled
with the scalar field with power-law potential. For a wide range of powers and
parameters of the potential we numerically calculated the slow-roll parameters
and scalar spectral index at the epoch when present Hubble scale leaves the
horizon and at the end of inflation. Also we compare results of our numerical
calculations with recent observation data. This allows us to set a constraint
on the power of the potential: alpha < (3.5 - 4.5).
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 18:10:30 GMT""},{""version"":""v2"",""created"":""Thu, 30 Oct 2003 17:26:32 GMT""}]","2009-11-16"
"astro-ph/0309835","Massimo Stiavelli","M. Stiavelli, S.M. Fall, N. Panagia","Observable Properties of Cosmological Reionization Sources","28 pages, 6 figures. Accepted for publication in the Astrophysical
  Journal (to appear in vol. 600, N2, 10 January 2004)","Astrophys.J.600:508-519,2004","10.1086/380110",,"astro-ph",,"  Motivated by recent evidence that the epoch of reionization of hydrogen may
have ended at a redshift as low as z~6 we consider the detectability of the
sources responsible for this reionization. The main idea is that reionization
places limits on the mean surface brightness of the population of reionization
sources. Reducing the number of model-dependent assumptions to a minimum, we
discuss the observability of these sources with existing and planned
telescopes. We define a family of models characterized by two parameters: the
Lyman continuum escape fraction f_c from the sources, and the clumpiness
parameter C of the intergalactic medium. The minimum surface brightness model
corresponds to a value of unity for both parameters. We find that the detection
of the non-ionizing UV continuum of the reionization sources will be difficult
to accomplish before the launch of JWST if these sources have a mean surface
brightness close to the minimum value. However, if the values of f_c and C are
more realistic, the reionization sources may well be detected by HST before
JWST, perhaps by exploiting gravitational lensing amplification by foreground
clusters of galaxies. Instead of a detection in the continuum, one may attempt
to detect the Lyalpha emission line by narrow-band imaging. Present Lyalpha
searches at z>6 suggest that either the typical sources are fainter than dwarf
galaxies, or that the escape fraction of ionizing photons is much higher than
50%, so that there are no bright compact HII regions formed around the ionizing
sources.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 18:40:51 GMT""}]","2009-11-10"
"astro-ph/0309836","Patrick M. Motl","J. O. Burns (1), P. M. Motl (1), M. L. Norman (2), G. L. Bryan (3) (1
  University of Colorado, Boulder) (2 University of California, San Diego) (3
  University of Oxford)","On the Formation of Cool, Non-Flowing Cores in Galaxy Clusters via
  Hierarchical Mergers","Invited oral presentation for ``The Riddle of Cooling Flows in
  Galaxies and Clusters of Galaxies'' held at Charlottesville, VA USA May 31 -
  June 4 2003. Proceedings at http://www.astro.virginia.edu/coolflow, eds T. H.
  Reiprich, J. C. Kempner and N. Soker. 10 pages, 16 figures",,,,"astro-ph",,"  We present a new model for the creation of cool cores in rich galaxy clusters
within a LambdaCDM cosmological framework using the results from high spatial
dynamic range, adaptive mesh hydro/N-body simulations. It is proposed that
cores of cool gas first form in subclusters and these subclusters merge to
create rich clusters with cool, central X-Ray excesses. The rich cool clusters
do not possess ``cooling flows'' due to the presence of bulk velocities in the
intracluster medium in excess of 1000 km/sec produced by on-going accretion of
gas from supercluster filaments. This new model has several attractive features
including the presence of substantial core substructure within the cool cores,
and it predicts the appearance of cool bullets, cool fronts, and cool filaments
all of which have been recently observed with X-Ray satellites. This
hierarchical formation model is also consistent with the observation that cool
cores in Abell clusters occur preferentially in dense supercluster
environments. On the other hand, our simulations overproduce cool cores in
virtually all of our numerical clusters, the central densities are high, and
physical core temperatures are often below 1 keV (in contrast to recent
observations). We will discuss additional preliminary simulations to ``soften''
the cool cores involving star formation and supernova feedback.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 19:54:44 GMT""}]","2007-05-23"
"astro-ph/0310001","Stephane Courteau","Aaron A. Dutton (ETH), Stephane Courteau (Queens), Roelof de Jong
  (STScI), Claude Carignan (Montreal)","Mass Modeling of Disk Galaxies: Constraints, Degeneracies and Adiabatic
  Contraction","26 pages, 11 figures, minor changes to agree with published version,
  uses emulateapj","Astrophys.J.619:218-242,2005","10.1086/426375",,"astro-ph",,"  This paper addresses available constraints on mass models fitted to rotation
curves. Mass models of disk galaxies have well-known degeneracies, that prevent
a unique mass decomposition. The most notable is due to the unknown value of
the stellar mass-to-light ratio (the disk-halo degeneracy); even with this
known, degeneracies between the halo parameters themselves may prevent an
unambiguous determination of the shape of the dark halo profile, which includes
the inner density slope of the dark matter halo. The latter is often referred
to as the ``cusp-core degeneracy''. We explore constraints on the disk and halo
parameters and apply these to four mock and six observed disk galaxies with
high resolution and extended rotation curves. Our full set of constraints
consists of mass-to-light (M/L) ratios from stellar population synthesis models
based on B-R colors, constraints on halo parameters from N-body simulations,
and constraining the halo virial velocity to be less than the maximum observed
velocity. These constraints are only partially successful in lifting the
cusp-core degeneracy. The effect of adiabatic contraction of the halo by the
disk is to steepen cores into cusps and reduce the best-fit halo concentration
and M/L values (often significantly). We also discuss the effect of disk
thickness, halo flattening, distance errors, and rotation curve error values on
mass modeling. Increasing the imposed minimum rotation curve error from
typically low, underestimated values to more realistic estimates decreases the
chi-square substantially and makes distinguishing between a cuspy or cored halo
profile even more difficult. In spite of the degeneracies and uncertainties
present, our constrained mass modeling favors sub-maximal disks (i.e., a
dominant halo) at 2.2 disk scale lengths, with Vdisk/Vtot < 0.6.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 20:15:52 GMT""},{""version"":""v2"",""created"":""Tue, 21 Sep 2004 22:24:24 GMT""},{""version"":""v3"",""created"":""Sun, 30 Jan 2005 16:59:06 GMT""}]","2009-11-10"
"astro-ph/0310002","Daniel Proga","D. Proga (1), A.I. MacFadyen (2), P.J. Armitage (1, 3), and M.C.
  Begelman (1, 3) ((1) JILA, University of Colorado, Boulder, CO, (2)
  California Institute of Technology, Pasadena, CA, (3) also Department of
  Astrophysical and Planetary Sciences, University of Colorado, Boulder)","Axisymmetric MHD simulations of the collapsar model for gamma-ray bursts","submitted in ApJ Letters","Astrophys.J.599:L5-L8,2003","10.1086/381158",,"astro-ph",,"  We present results from axisymmetric, time-dependent magnetohydrodynamic
(MHD) simulations of the collapsar model for gamma-ray bursts. We begin the
simulations after the 1.7 MSUN iron core of a 25 MSUN presupernova star has
collapsed and study the ensuing accretion of the 7 MSUN helium envelope onto
the central black hole formed by the collapsed iron core. We consider a
spherically symmetric progenitor model, but with spherical symmetry broken by
the introduction of a small, latitude-dependent angular momentum and a weak
radial magnetic field. Our MHD simulations include a realistic equation of
state, neutrino cooling, photodisintegration of helium, and resistive heating.
Our main conclusion is that, within the collapsar model, MHD effects alone are
able to launch, accelerate and sustain a strong polar outflow. We also find
that the outflow is Poynting flux-dominated, and note that this provides
favorable initial conditions for the subsequent production of a baryon-poor
fireball.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 20:02:23 GMT""}]","2009-11-10"
"astro-ph/0310003","Matthew Browning","Matthew Browning, Allan Sacha Brun, and Juri Toomre","Simulations of core convection in rotating A-type stars: Differential
  rotation and overshooting","48 pages, 16 figures, some color. Accepted to Astrophys. J. Color
  figures compressed with appreciable loss of quality; a PDF of the paper with
  better figures is available at
  http://lcd-www.colorado.edu/~brownim/core_convectsep24.pdf","Astrophys.J.601:512-529,2004","10.1086/380198",,"astro-ph",,"  We present the results of 3--D simulations of core convection within A-type
stars of 2 solar masses, at a range of rotation rates. We consider the inner
30% by radius of such stars, thereby encompassing the convective core and some
of the surrounding radiative envelope. We utilize our anelastic spherical
harmonic (ASH) code, which solves the compressible Navier-Stokes equations in
the anelastic approximation, to examine highly nonlinear flows that can span
multiple scale heights. The cores of these stars are found to rotate
differentially, with central cylindrical regions of strikingly slow rotation
achieved in our simulations of stars whose convective Rossby number (R_{oc}) is
less than unity. Such differential rotation results from the redistribution of
angular momentum by the nonlinear convection that strongly senses the overall
rotation of the star. Penetrative convective motions extend into the overlying
radiative zone, yielding a prolate shape (aligned with the rotation axis) to
the central region in which nearly adiabatic stratification is achieved. This
is further surrounded by a region of overshooting motions, the extent of which
is greater at the equator than at the poles, yielding an overall spherical
shape to the domain experiencing at least some convective mixing. We assess the
overshooting achieved as the stability of the radiative exterior is varied, and
the weak circulations that result in that exterior. The convective plumes serve
to excite gravity waves in the radiative envelope, ranging from localized
ripples of many scales to some remarkable global resonances.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 20:02:24 GMT""}]","2008-11-26"
"astro-ph/0310004","John S. Arabadjis","J. S. Arabadjis (MIT), M. W. Bautz (MIT)","Constraining Multiphase Gas in Cooling Flows","3 pages, 3 figures; contribution to the proceedings of ``The Riddle
  of Cooling Flows in Galaxies and Clusters of Galaxies'', May 31 - June 4,
  2003, Charlottesville, VA, USA, ed. T.H.Reiprich, J.C.Kempner & N.Soker (see
  http://www.astro.virginia.edu/coolflow/)",,,,"astro-ph",,"  We present a spectral analysis of the central X-ray emission for a sample of
galaxy clusters observed with Chandra. We constrain the quantity of a second
cospatial temperature component using Markov Chain Monte Carlo sampling and
discuss the implications for our understanding of cooling flows.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 20:03:09 GMT""}]","2007-05-23"
"astro-ph/0310005","Arthur Lue","Arthur Lue and Glenn D. Starkman (CWRU and CERN)","Squeezing MOND into a Cosmological Scenario","11 pages revtex, 2 figures","Phys.Rev.Lett.92:131102,2004","10.1103/PhysRevLett.92.131102","CERN-TH/2003-234","astro-ph gr-qc hep-ph hep-th",,"  Explaining the effects of dark matter using modified gravitational dynamics
(MOND) has for decades been both an intriguing and controversial possibility.
By insisting that the gravitational interaction that accounts for the Newtonian
force also drives cosmic expansion, one may kinematically identify which
cosmologies are compatible with MOND, without explicit reference to the
underlying theory so long as the theory obeys Birkhoff's law. Using this
technique, we are able to self-consistently compute a number of quantities of
cosmological interest. We find that the critical acceleration a_0 must have a
slight source-mass dependence (a_0 ~ M^(1/3)) and that MOND cosmologies are
naturally compatible with observed late-time expansion history and the
contemporary cosmic acceleration. However, cosmologies that can produce enough
density perturbations to account for structure formation are contrived and
fine-tuned. Even then, they may be marginally ruled out by evidence of early (z
\~ 20) reionization.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 20:24:01 GMT""}]","2009-11-10"
"astro-ph/0310006","Laura Ferrarese","Laura Ferrarese, Patrick Cote and Andres Jordan (Rutgers University)","Hubble Space Telescope Observations of Novae in M49","ApJ, accepted. Scheduled to appear in the December 20, 2003 issue","Astrophys.J.599:1302,2003","10.1086/379349",,"astro-ph",,"  A search for novae in M49 (NGC 4472) has been undertaken with the Hubble
Space Telescope. A 55-day observing campaign in F555W (19 epochs) and F814W
(five epochs) has led to the discovery of nine novae. We find that M49 may be
under-abundant in slow, faint novae relative to the Milky Way and M31. Instead,
the decline rates of the M49 novae are remarkably similar to those of novae in
the LMC. This fact argues against a simple classification of novae in ""bulge""
and ""disk"" sub-classes. We examine the Maximum-Magnitude versus Rate of Decline
(MMRD) relation for novae in M49, finding only marginal agreement with the
Galactic and M31 MMRD relations. A recalibration of the Buscombe-de Vaucouleurs
relation gives an absolute magnitude 15 days past maximum of M_{V,15} =
-6.36+/-0.19, which is substantially brighter than previous calibrations based
on Galactic novae. Monte Carlo simulations yield a global nova rate for M49 of
100{+35}{-30} per year, and a luminosity-specific nova rate in the range \nu_K
= 1.7-2.5 per year per 10^{-10} L_K,solar. These rates are far lower than those
predicted by current models of nova production in elliptical galaxies and may
point to a relative scarity of novae progenitors, or an increased recurrence
timescale, in early-type environments.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 20:54:01 GMT""}]","2009-11-10"
"astro-ph/0310007","Alexei Y. Poludnenko","A.Y. Poludnenko (1,2), A. Frank (1,2), S. Mitran (3) ((1) Univ. of
  Rochester; (2) Labor. for Laser Energetics; (3) Univ. of North Carolina,
  Chapel Hill)","Strings in the Eta Carinae Nebula: Hypersonic Radiative Cosmic Bullets","6 pages, 2 figures. Submitted to the Astrophysical Journal; for
  additional results and simulation animations see
  http://www.pas.rochester.edu/~wma","Astrophys.J.613:387-392,2004","10.1086/422988",,"astro-ph",,"  We present the results of a numerical study focusing on the propagation of a
hypersonic bullet subject to radiative cooling. Our goal is to explore the
feasibility of such a model for the formation of ``strings'' observed in the
Eta Carinae Homunculus nebula. Our simulations were performed in cylindrical
symmetry with the adaptive mesh refinement code AstroBEAR. The radiative
cooling of the system was followed using the cooling curve by Dalgarno & McCray
(1972). In this letter we discuss the evolution and overall morphology of the
system as well as key kinematic properties. We find that radiative bullets can
produce structures with properties similar to those of the Eta Carinae strings,
i.e. high length-to-width ratios and Hubble-type flows in the form of a linear
velocity increase from the base of the wake to the bullet head. These features,
along with the appearance of periodic ``ring-like'' structures, may also make
this model applicable to other astrophysical systems such as planetary nebulae,
e.g. CRL 618 and NGC 6543, young stellar objects, etc.
","[{""version"":""v1"",""created"":""Tue, 30 Sep 2003 21:14:53 GMT""}]","2009-11-10"
