"astro-ph/0306364","Robert J. Scherrer","Casey R. Watson and Robert J. Scherrer","The Evolution of Inverse Power Law Quintessence at Low Redshift","6 pages, 6 figures, new figure added, numerous clarifications","Phys.Rev.D68:123524,2003","10.1103/PhysRevD.68.123524",,"astro-ph gr-qc hep-ph",,"  Quintessence models based on a scalar field, phi, with an inverse power law
potential display simple tracking behavior at early times, when the
quintessence energy density, rho_phi, is sub-dominant. At late times, when
rho_phi becomes comparable to the matter density, the evolution of phi diverges
from its scaling behavior. We calculate the first order departure of phi from
its tracker solution at low redshift. Our results for the evolution of phi,
rho_phi, Omega_phi, and w are suprisingly accurate even down to z=0. We find
that w and Omega_phi are related linearly to first order. We also derive a
semi-analytic expression for w(z) which is accurate to within a few percent.
Our analytic techniques are potentially applicable to any quintessence model in
which the quintessence component comes to dominate at late times.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 16:12:18 GMT""},{""version"":""v2"",""created"":""Mon, 23 Jun 2003 15:45:22 GMT""},{""version"":""v3"",""created"":""Fri, 19 Sep 2003 20:25:40 GMT""}]","2009-11-10"
"astro-ph/0306375","Andreas Zezas","A. Zezas (1), M.J. Ward (2), S.S. Murray (1) ((1) Harvard-Smithsonian
  CfA, (2) University of Leicester)","Chandra observations of the X-ray luminous star-forming galaxy merger
  Arp~299","7 pages, 2 figures, to appear in ApJ Lett","Astrophys.J.594:L31-L34,2003","10.1086/378144",,"astro-ph",,"  We report results of a Chandra observation of the X-ray luminous star-forming
galaxy Arp299 (NGC3690/IC694). We detect 18 discrete X-ray sources with
luminosities above ~10^39 erg\s (0.5-8.0 keV band), which contribute ~40% of
the total galactic emission in this band. The remaining emission is associated
with a diffuse component spatially coincident with regions of widespread
star-formation. We detect X-ray emission from both nuclei. One of the discrete
sources within the complex nuclear region of NGC 3690 is found to have a very
hard spectrum and therefore we associate it with the origin of the AGN-like
spectrum that has also been detected at high X-ray energies using Beppo-SAX.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 20:02:17 GMT""}]","2009-11-10"
"astro-ph/0306376","Roger A. Chevalier","Roger A. Chevalier and Jeffrey Oishi","Cassiopeia A and its Clumpy Presupernova Wind","13 pages, ApJL, in press","Astrophys.J.593:L23,2003","10.1086/377572",,"astro-ph",,"  The observed shock wave positions and expansion in Cas A can be interpreted
in a model of supernova interaction with a freely expanding stellar wind with a
mass loss rate of ~3e-5 Msun/yr for a wind velocity of 10 km/s. The wind was
probably still being lost at the time of the supernova, which may have been of
Type IIn or IIb. The wind may play a role in the formation of very fast knots
observed in Cas A. In this model, the quasi-stationary flocculi (QSFs)
represent clumps in the wind, with a density contrast of several 1000 compared
to the smooth wind. The outer, unshocked clumpy wind is photoionized by
radiation from the supernova, and is observed as a patchy HII region around Cas
A. This gas has a lower density than the QSFs and is heated by nonradiative
shocks driven by the blast wave. Denser clumps have recombined and are observed
as HI compact absorption features towards Cas A.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 20:16:55 GMT""}]","2009-11-10"
"astro-ph/0306377","Wilson M. Liu","Wilson M. Liu, Michael R. Meyer, Angela S. Cotera and Erick T. Young
  (Steward Observatory, U. of Arizona)","HST/NICMOS Observations of the Embedded Cluster in NGC 2024: Constraints
  on the IMF and Binary Fraction","24 pages, 6 figures, accepted to the Astronomical Journal","Astron.J.126:1665,2003","10.1086/377620",,"astro-ph",,"  We present an analysis of NICMOS observations of the embedded cluster
associated with NGC 2024. An analysis of the cluster color-magnitude diagram
(CMD) using the models of D'Antona & Mazzitelli (1997) and Baraffe et al.
(1998) indicates that the ratio of intermediate mass (1.0 to 10.0 M_sun) to low
mass (0.1 to 1.0 M_sun) stars is consistent with the stellar initial mass
function (IMF) for the field. In addition to the CMD analysis, we present
results on the multiplicity of stars in the region. Three companions (in a
sample of 95 potential primaries) were found, with angular separations between
0"".4 and 1"".0, translating to a projected linear separation of 184 AU to 460 AU
for an estimated distance of 460 pc. The completeness of binary detections is
assessed using recovery fractions calculated by a series of tests using
artificially generated companions to potential primaries in the data frames. We
find that the binary fraction in NGC 2024 is consistent with that of Duquennoy
& Mayor (1991) for solar neighborhood stars over the range of separations and
companion masses appropriate for our survey.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 21:05:17 GMT""}]","2009-11-10"
"astro-ph/0306378","Denis Richard","D.T.Richard","On non-linear hydrodynamic instability and enhanced transport in
  differentially rotating flows","Accepted for publication in ""Astronomy and Astrophysics""","Astron.Astrophys.408:409-414,2003","10.1051/0004-6361:20031010",,"astro-ph",,"  In this paper we argue that differential rotation can possibly sustain
hydrodynamic turbulence in the absence of magnetic field. We explain why the
non-linearities of the hydrodynamic equations (i.e. turbulent diffusion) should
not be neglected, either as a simplifying approximation or based on boundary
counditions. The consequences of lifting this hypothesis are studied for the
flow stability and the enhanced turbulent transport. We develop a simple
general model for the energetics of turbulent fluctuations in differentially
rotating flows. By taking into account the non-linearities of the equations of
motions, we give constraints on the mean flow properties for the possible
development of shear instability. The results from recent laboratory
experiments on rotating flows show -- in agreement with the model -- that the
pertinent parameter for stability appears to be the Rossby number Ro. The
laboratory experiments seem to be compatible with Ro<-1/2 and Ro > 1 in the
inviscid or high rotation rates limit. Our results, taken in the inviscid
limit, are coherent with the classical linear stability analysis, in the sense
that the critical perturbation equals zero on the marginal linear stability
curve. We also propose a prescription for turbulent viscosity which generalize
the beta-prescription derived in Richard & Zahn 1999.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 21:12:14 GMT""}]","2009-11-10"
"astro-ph/0306379","Gaspard Duchene","G. Duchene (1), F. Menard (2) ((1) UCLA, (2) Observatoire de Grenoble)","On the alignment of T Tauri stars with the local magnetic field","8 pages, 2 figures, to appear in the conference proceedings of ""Open
  Issues in Local Star Formation and Early Stellar Evolution"", held in Ouro
  Preto (Brazil), April 5-10, 2003","Astrophys.Space Sci.292:419-425,2004","10.1023/B:ASTR.0000045045.32266.1e",,"astro-ph",,"  Magnetic field is believed to play an important role in the collapse of a
molecular cloud. In particular, due to the properties of magnetic forces,
collapse should be easier along magnetic field lines, as supported by the
large-scale sheet-like structure of the Taurus giant molecular cloud for
instance. Here we investigate whether such a prefered orientation for collapse
is present at a much smaller scale, that of individual objects. We use recent
high-angular resolution images of T Tauri stars located in the Taurus
star-forming region to find the orientation of the symmetry axis of each
star+jet+disk system and compare it to that of the local magnetic field. We
find that i) the orientations of the symmetry axis of T Tauri stars are not
random with respect to the magnetic field, and ii) that young stars that are
associated to a jet or an outflow are oriented very differently from those
which do not have a detected outflow. We present some implications of this
puzzling new result.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 21:30:22 GMT""}]","2009-11-10"
"astro-ph/0306380","David P. Huenemoerder","David P. Huenemoerder, Claude R. Canizares, Jeremy J. Drake, and Jorge
  Sanz-Forcada","The Coronae of AR Lac","31 pages, 8 figures, 3 tables; Accepted for publication in the
  Astrophysical Journal (tentatively October 1, 2003)","Astrophys.J.595:1131-1147,2003","10.1086/377490","CSR-03-64","astro-ph",,"  We observed the coronally active eclipsing binary, AR Lac, with the High
Energy Transmission Grating on Chandra for a total of 97 ks, spaced over five
orbits, at quadratures and conjunctions. Contemporaneous and simultaneous EUV
spectra and photometry were also obtained with the Extreme Ultraviolet
Explorer. Significant variability in both X-ray and EUV fluxes were observed,
dominated by at least one X-ray flare and one EUV flare. We saw no evidence of
primary or secondary eclipses. X-ray flux modulation was largest at high
temperature, indicative of flare heating of coronal plasma. Line widths
interpreted in terms of Doppler broadening suggest that both binary stellar
components are active. From line fluxes obtained from total integrated spectra,
we have modeled the emission measure and abundance distributions. A strong
maximum was found in the differential emission measure, characterized by peaks
at log T = 6.9 and 7.4, together with a weak but significant cooler maximum
near log T=6.2, and a moderately strong hot tail from log T= 7.6-8.2. Coronal
abundances have a broad distribution and show no simple correlation with first
ionization potential. While the resulting model spectrum generally agrees very
well with the observed spectrum, there are some significant discrepancies,
especially among the many Fe L-lines. Both the emission measure and abundance
distributions are qualitatively similar to prior determinations from other
X-ray and ultraviolet spectra, indicating some long-term stability in the
overall coronal structure.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 22:01:06 GMT""}]","2009-11-10"
"astro-ph/0306381","Michael Nolta","Lyman Page (Princeton University)","The Wilkinson Microwave Anisotropy Probe","To appear in Carnegie Observatories Astrophysics Series, Vol2
  Measuring and Modeling the Universe, ed. W.L. Freedman,Cambridge University
  Press. Version with high-quality figures at
  http://ophelia.princeton.edu/~page/carnegie.pdf",,,,"astro-ph",,"  The Wilkinson Microwave Anisotropy Probe (WMAP) has mapped the full sky in
five frequency bands between 23 and 94 GHz. The primary goal of the mission is
to produce high-fidelity, all-sky, polarization-sensitive maps that can be used
to study the cosmic microwave background. Systematic errors in the maps are
constrained to new levels: using all-sky data, aspects of the anisotropy may
confidently be probed to sub-microKelvin levels. We give a brief description of
the instrument and an overview of the first results from an analysis of maps
made with one year of data. The highlights are (1) the flat Lambda-CDM model
fits the data remarkably well, whereas an Einstein-de Sitter model does not;
(2) we see evidence of the birth of the first generation of stars at z ~ 20;
(3) when the WMAP data are combined and compared with other cosmological
probes, a cosmic consistency emerges: multiple different lines of inquiry lead
to the same results.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 22:44:32 GMT""}]","2007-05-23"
"astro-ph/0306382","Enrico Maria Corsini","E. M. Corsini, A. Pizzella, L. Coccato, F. Bertola (Dipartimento di
  Astronomia, Universita` di Padova)","Minor-axis velocity gradients in spirals and the case of inner polar
  disks","13 pages. 3 PostScript figures (Figs. 1 and 3 at lower resolution).
  Accepted for publication in A&A","Astron.Astrophys.408:873-886,2003","10.1051/0004-6361:20030951",,"astro-ph",,"  We measured the ionized-gas and stellar kinematics along the major and minor
axis of a sample of 10 early-type spirals. Much to our surprise we found a
remarkable gas velocity gradient along the minor axis of 8 of them. According
to the kinematic features observed in their ionized-gas velocity fields, we
divide our sample galaxies in three classes of objects. (i) NGC 4984, NGC 7213,
and NGC 7377 show an overall velocity curve along the minor axis without
zero-velocity points, out to the last measured radius, which is interpreted as
due to the warped structure of the gaseous disk. (ii) NGC 3885, NGC 4224, and
NGC 4586 are characterized by a velocity gradient along both major and minor
axis, although non-zero velocities along the minor axis are confined to the
central regions. Such gas kinematics have been explained as being due to
non-circular motions induced by a triaxial potential. (iii) NGC 2855 and NGC
7049 show a change of slope of the velocity gradient measured along the major
axis (which is shallower in the center and steeper away from the nucleus), as
well as non-zero gas velocities in the central regions of the minor axis. This
has been attributed to the presence of a kinematically-decoupled gaseous
component in orthogonal rotation with respect to the galaxy disk, namely an
inner polar disk. The case and origin of inner polar disks are discussed and
the list of their host galaxies is presented.
","[{""version"":""v1"",""created"":""Wed, 18 Jun 2003 23:21:01 GMT""}]","2009-11-10"
"astro-ph/0306383","Timothy J. Pearson","A. C. S. Readhead, T. J. Pearson","Interferometric Observations of the Cosmic Microwave Background
  Radiation","To appear in Carnegie Observatories Astrophysics Series, Vol. 2:
  Measuring and Modeling the Universe, ed. W. L. Freedman (Cambridge: Cambridge
  Univ. Press); 21 pages; low-quality figures",,,,"astro-ph",,"  Radio interferometers are well suited to studies of both total intensity and
polarized intensity fluctuations of the cosmic microwave background radiation,
and they have been used successfully in measurements of both the primary and
secondary anisotropy. Recent observations with the Cosmic Background Imager
operating in the Chilean Andes, the Degree Angular Scale Interferometer
operating at the South Pole, and the Very Small Array operating in Tenerife
have probed the primary anisotropy over a wide range of angular scales. The
advantages of interferometers for microwave background observations of both
total intensity and polarized radiation are discussed, and the cosmological
results from these three instruments are presented. The results show that,
subject to a reasonable value for the Hubble constant, which is degenerate with
the geometry in closed models, the geometry of the Universe is flat to high
precision (~5%) and the primordial fluctuation spectrum is very close to the
scale-invariant Harrison-Zel'dovich spectrum. Both of these findings are
concordant with inflationary predictions. The results also show that the
baryonic matter content is consistent with that found from primordial
nucleosynthesis, while the cold dark matter component can account for no more
than ~40% of the energy density of the Universe. It is a requirement of these
observations, therefore, that ~60% of the energy content of the Universe is not
related to matter, either baryonic or nonbaryonic. This dark energy component
of the energy density is attributed to a nonzero cosmological constant.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 02:07:14 GMT""}]","2007-05-23"
"astro-ph/0306384","Enrico Nardi","Enrico Nardi and Jorge I. Zuluaga","Exploring the sub-eV neutrino mass range with supernova neutrinos","Included analysis with numerical neutrino energy spectrum and
  oscillations effects. 7 pages, 6 figures","Phys.Rev.D69:103002,2004","10.1103/PhysRevD.69.103002",,"astro-ph hep-ph",,"  A new method to study the effects of neutrino masses on a supernova neutrino
signal is proposed. The method relies exclusively on the analysis of the full
statistics of neutrino events, it is independent of astrophysical assumptions,
and does not require the observation of any additional phenomenon to trace
possible delays in the neutrino arrival times. The sensitivity of the method to
the sub-eV neutrino mass range, defined as the capability of disentangling at
95% c.l. the case $m_\nu=1$eV from $m_\nu=0$, is tested by analyzing a set of
synthetic neutrino samples modeled according to the signal that could be
detected at SuperKamiokande. For a supernova at the Galactic center success is
achieved in more than 50% of the cases. It is argued that a future Galactic
supernova yielding several thousands of inverse $\beta$ decays might provide
enough information to explore a neutrino mass range somewhat below 1 eV.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 02:08:32 GMT""},{""version"":""v2"",""created"":""Fri, 30 Jan 2004 01:07:35 GMT""}]","2009-11-10"
"astro-ph/0306385","Lin Wei-Peng","W.P.Lin, Y.P.Jing (The Partner Group of MPI for Astrophysics at
  Shanghai Observatory, China), Lihwai Lin (Department of Physics, National
  Taiwan University, Taipei)","Formation time distribution of dark matter haloes: theories versus
  N-body simulations","7 pages, 5 figures, accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc.344:1327,2003","10.1046/j.1365-8711.2003.06924.x",,"astro-ph",,"  This paper uses numerical simulations to test the formation time distribution
of dark matter haloes predicted by the analytic excursion set approaches. The
formation time distribution is closely linked to the conditional mass function
and this test is therefore an indirect probe of this distribution. The
excursion set models tested are the extended Press-Schechter (EPS) model, the
ellipsoidal collapse (EC) model, and the non-spherical collapse boundary (NCB)
model. Three sets of simulations (6 realizations) have been used to investigate
the halo formation time distribution for halo masses ranging from dwarf-galaxy
like haloes ($M=10^{-3} M_*$, where $M_*$ is the characteristic non-linear mass
scale) to massive haloes of $M=8.7 M_*$. None of the models can match the
simulation results at both high and low redshift. In particular, dark matter
haloes formed generally earlier in our simulations than predicted by the EPS
model. This discrepancy might help explain why semi-analytic models of galaxy
formation, based on EPS merger trees, under-predict the number of high redshift
galaxies compared with recent observations.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 05:23:31 GMT""}]","2009-11-10"
"astro-ph/0306388","Shinya Wanajo","Yuhri Ishimaru (Ochanomizu U.), Shinya Wanajo (Sophia U.), Wako Aoki
  (NAOJ), Sean G. Ryan (Open U.)","Detection of low Eu abundances in extremely metal-poor stars and the
  origin of r-process elements","7 pages, 2 figures, accepted for publication in the Astrophysical
  Journal Letters","Astrophys.J.600:L47-L50,2003","10.1086/381496",,"astro-ph",,"  We report abundance analyses of three extremely metal-poor stars with [Fe/H]
$\lesssim -3$, using the Subaru High Dispersion Spectrograph (HDS). All are
found to have sub-solar values of [Eu/Fe]. Comparison with our chemical
evolution model of the Galactic halo implies the dominant source of Eu to be
the low-mass end of the supernova mass range. Future studies of stars with low
Eu abundances will be important to determine the r-process site.
","[{""version"":""v1"",""created"":""Thu, 19 Jun 2003 08:57:05 GMT""},{""version"":""v2"",""created"":""Thu, 6 Nov 2003 15:05:47 GMT""}]","2009-11-10"
