"astro-ph/0307107","Re'em Sari","Re'em Sari and Peter Goldreich","Planet - Disk Symbiosis","Submitted to ApJL","Astrophys.J.606:L77-L80,2004","10.1086/421080",,"astro-ph",,"  Planets form in disks around young stars. Interactions with these disks cause
them to migrate and thus affect their final orbital periods. We suggest that
the connection between planets and disks may be deeper and involve a symbiotic
evolution. By contributing to the outward transport of angular momentum,
planets promote disk accretion. Here we demonstrate that planets sufficiently
massive to open gaps could be the primary agents driving disk accretion. Those
having masses below the gap opening threshold drift inward more rapidly than
the disk material and can only play a minor role in its accretion. Eccentricity
growth during gap formation may involve an even more intimate symbiosis. Given
a small initial eccentricity, just a fraction of a percent, the orbital
eccentricity of a massive planet may grow rapidly once a mass in excess of the
planet's mass has been repelled to form a gap around the planet's orbit. Then,
as the planet's radial excursions approach the gap's width, subsequent
eccentricity growth slows so that the planet's orbit continues to be confined
within the gap.
","[{""version"":""v1"",""created"":""Sat, 5 Jul 2003 19:24:48 GMT""}]","2009-11-10"
"hep-lat/0307006","Walter Wilcox","Alfred Tang, Walter Wilcox, and Randy Lewis","Lattice Results on the Connected Neutron Charge Radius","20 pages, 4 figures; closer to journal version","Phys.Rev. D68 (2003) 094503","10.1103/PhysRevD.68.094503","BU-HEPP-03-03","hep-lat",,"  We describe a calculation using quenched lattice QCD of the connected part of
the neutron electric form factor for momentum transfers in the range $0.3 {\rm
GeV^2} \stackrel{<}{\sim} -q^2 \stackrel{<}{\sim} 1.0 {\rm GeV^2}$. We extract
the implied charge radius using a Galster parameterization and consider various
ways of extrapolating the neutron charge radius value to the chiral limit. We
find that the measured charge radii may be reconciled to experiment by standard
phenomenology and lowest or next to lowest order contributions from chiral
perturbation theory.
","[{""version"":""v1"",""created"":""Sat, 5 Jul 2003 19:33:13 GMT""},{""version"":""v2"",""created"":""Tue, 30 Sep 2003 19:16:39 GMT""}]","2009-11-10"
"hep-lat/0307007","Sourendu Gupta","Sourendu Gupta","Analyticity and the phase diagram of QCD","15 pages, 2 figures. Extended discussion of some points","Phys.Lett. B588 (2004) 136-144","10.1016/j.physletb.2004.03.018",,"hep-lat hep-ph nucl-th",,"  Some consequences of the analyticity of the free energy (pressure) of QCD at
finite chemical potential are deduced. These include a method for numerical
exploration of the full phase diagram by a novel use of simulations at
imaginary chemical potential to extract Yang-Lee zeroes of the grand-canonical
partition function. We make use of, and comment on, CPT symmetries, positivity
of non-linear susceptibilities and the finiteness of screening lengths. We also
comment on the structure of zeroes expected for the usual picture of the phases
of QCD, following a discussion of the physics of imaginary chemical potential.
","[{""version"":""v1"",""created"":""Sun, 6 Jul 2003 12:13:37 GMT""},{""version"":""v2"",""created"":""Thu, 31 Jul 2003 07:39:39 GMT""}]","2009-11-10"
"hep-ph/0307073","Christof Gattringer","Dirk Broemmel, Peter Crompton, Christof Gattringer, Leonid Ya.
  Glozman, C.B. Lang, Stefan Schaefer and Andreas Schaefer","Excited nucleons with chirally improved fermions","Tables added, small modifications in the text","Phys.Rev. D69 (2004) 094513","10.1103/PhysRevD.69.094513",,"hep-ph hep-lat nucl-th",,"  We study positive and negative parity nucleons on the lattice using the
chirally improved lattice Dirac operator. Our analysis is based on a set of
three operators chi_i with the nucleon quantum numbers but in different
representations of the chiral group and with different diquark content. We use
a variational method to separate ground state and excited states and determine
the mixing coefficients for the optimal nucleon operators in terms of the
chi_i. We clearly identify the negative parity resonances N(1535) and N(1650)
and their masses agree well with experimental data. The mass of the observed
excited positive parity state is too high to be interpreted as the Roper state.
Our results for the mixing coefficients indicate that chiral symmetry is
important for N(1535) and N(1650) states. We confront our data for the mixing
coefficients with quark models and provide insights into the physics of the
nucleon system and the nature of strong decays.
","[{""version"":""v1"",""created"":""Sat, 5 Jul 2003 17:28:30 GMT""},{""version"":""v2"",""created"":""Wed, 14 Jan 2004 16:39:06 GMT""},{""version"":""v3"",""created"":""Tue, 20 Apr 2004 10:17:01 GMT""}]","2009-11-10"
"hep-ph/0307076","Roberto Fiore","J. Bartels, V.S. Fadin, R. Fiore","The Bootstrap Conditions for the Gluon Reggeization","29 pages, LaTex, axodraw.sty, modified Budker INP preprint number","Nucl.Phys. B672 (2003) 329-356","10.1016/j.nuclphysb.2003.08.034","Budker INP 2003-47, DESY-03-083, DFCAL-TH 03/4","hep-ph",,"  Compatibility of gluon Reggeization with s-channel unitarity requires the
vertices of the Reggeon interactions to satisfy a series of bootstrap
conditions. In order to derive, in the next-to-leading order (NLO), conditions
related to the gluon production amplitudes, we calculate the s-channel
discontinuities of these amplitudes and compare them with those required by the
Reggeization. It turns out that these conditions include the so called strong
bootstrap conditions for the kernel and for the impact factors of scattering
particles, which were proposed earlier without derivation, and recently were
proved to be satisfied. Besides this, there is a new bootstrap condition, which
relates a number of Reggeon vertices and the gluon trajectory.
","[{""version"":""v1"",""created"":""Sat, 5 Jul 2003 17:40:49 GMT""},{""version"":""v2"",""created"":""Wed, 16 Jul 2003 16:59:04 GMT""}]","2010-04-05"
"hep-ph/0307077","Maxim V. Polyakov","V. Yu. Petrov and M. V. Polyakov","Light cone nucleon wave function in the quark-soliton model","23 pages, 2 figures, references added",,,"PNPI-2500, RUB-TP2-19/02","hep-ph hep-ex nucl-th",,"  The light-cone wave function of the nucleon is calculated in the limit
  N_c -> infinity in the quark-soliton model inspired by the theory of the
instanton vacuum of QCD. The technique of the finite time evolution operator is
used in order to derive expressions for all components of the Fock vector
describing the nucleon in the infinite momentum frame. It is shown that nucleon
wave function for large N_c can be expressed in terms of the wave function of
the discrete level in the self-consistent meson field and light cone wave
functions of 1,2, etc mesons. The 3-quark components of the nucleon and
Delta-resonance are estimated. Wave function of the nucleon appears to be
positive in the whole region of x and it has rather small asymmetry. It differs
strongly both from Chernyak-Zhitnitsky wave function and the asymptotic one.
Large momentum transfer asymptotic of the electromagnetic and axial form
factors is discussed.
","[{""version"":""v1"",""created"":""Sat, 5 Jul 2003 17:48:32 GMT""},{""version"":""v2"",""created"":""Tue, 22 Jul 2003 09:13:00 GMT""}]","2016-09-06"
"hep-ph/0307078","Fuming Liu","F. M. Liu, K. Werner, J. Aichelin, M. Bleicher, H. Stoecker","A Micro-Canonical Description of Hadron Production in Proton-Proton
  Collisions","6 pages 4 figures, Invited talk at 7th International Conference on
  Strangeness in Quark Matter (SQM 2003), Atlantic Beach, North Carolina, 12-17
  Mar 2003","J.Phys.G30:S589-S594,2004","10.1088/0954-3899/30/1/073",,"hep-ph",,"  A micro-canonical treatment is used to study particle production in pp
collisions. First this micro-canonical treatment is compared to some canonical
ones. Then proton, antiproton and pion 4(\pi) multiplicities from proton-proton
collisions at various center of mass energies are used to fix the
micro-canonical parameters (E) and (V). The dependences of the micro-canonical
parameters on the collision energy are parameterised for the further study of
pp reactions with this micro-canonical treatment.
","[{""version"":""v1"",""created"":""Sun, 6 Jul 2003 09:05:35 GMT""}]","2014-11-17"
"hep-th/0307058","Hidehiko Shimada","H. Shimada","Membrane topology and matrix regularization","26 pages, 9 figures;(v2)Typos corrected. Information on a reference
  added;(v3)Further typos corrected. References added. Added a note. Added a
  comment in section 6","Nucl.Phys. B685 (2004) 297-320","10.1016/j.nuclphysb.2004.02.017","UT-KOMABA/03-11","hep-th",,"  The problem of membrane topology in the matrix model of M-theory is
considered. The matrix regularization procedure, which makes a correspondence
between finite-sized matrices and functions defined on a two-dimensional base
space, is reexamined. It is found that the information of topology of the base
space manifests itself in the eigenvalue distribution of a single matrix. The
precise manner of the manifestation is described. The set of all eigenvalues
can be decomposed into subsets whose members increase smoothly, provided that
the fundamental approximations in matrix regularization hold well. Those
subsets are termed as eigenvalue sequences. The eigenvalue sequences exhibit a
branching phenomenon which reflects Morse-theoretic information of topology.
  Furthermore, exploiting the notion of eigenvalue sequences, a new
correspondence rule between matrices and functions is constructed. The new rule
identifies the matrix elements directly with Fourier components of the
corresponding function, evaluated along certain orbits. The rule has
semi-locality in the base space, so that it can be used for all membrane
topologies in a unified way. A few numerical examples are studied, and
consistency with previously known correspondence rules is discussed.
","[{""version"":""v1"",""created"":""Sat, 5 Jul 2003 21:32:13 GMT""},{""version"":""v2"",""created"":""Thu, 16 Oct 2003 10:47:57 GMT""},{""version"":""v3"",""created"":""Wed, 21 Apr 2004 08:14:51 GMT""}]","2010-04-05"
"hep-th/0307059","Amir Masoud Ghezelbash","R. Clarkson, A.M. Ghezelbash, R.B. Mann","Entropic N-bound and Maximal Mass Conjecture Violations in Four
  Dimensional Taub-Bolt(NUT)-dS Spacetimes","37 pages, 22 figures, 3 tables, few typos corrected, version to
  appear in Nucl. Phys. B","Nucl.Phys. B674 (2003) 329-364","10.1016/j.nuclphysb.2003.09.039",,"hep-th gr-qc",,"  We show that the class of four-dimensional Taub-Bolt(NUT) spacetimes with
positive cosmological constant for some values of NUT charges are stable and
have entropies that are greater than that of de Sitter spacetime, in violation
of the entropic N-bound conjecture. We also show that the maximal mass
conjecture, which states ""any asymptotically dS spacetime with mass greater
than dS has a cosmological singularity"", can be violated as well. Our
calculation of conserved mass and entropy is based on an extension of the path
integral formulation to asymptotically de Sitter spacetimes.
","[{""version"":""v1"",""created"":""Sun, 6 Jul 2003 00:01:21 GMT""},{""version"":""v2"",""created"":""Fri, 31 Oct 2003 17:49:56 GMT""}]","2007-05-23"
"hep-th/0307060","Jeong-Hyuck Park","Jeong-Hyuck Park","Superfield theory and supermatrix model","1+16 pages, no figure; expanded version, references added; Convention
  for Clifford algebra improved","JHEP 0309:046,2003","10.1088/1126-6708/2003/09/046",,"hep-th",,"  We study the noncommutative superspace of arbitrary dimensions in a
systematic way. Superfield theories on a noncommutative superspace can be
formulated in two folds, through the star product formalism and in terms of the
supermatrices. We elaborate the duality between them by constructing the
isomorphism explicitly and relating the superspace integrations of the star
product Lagrangian or the superpotential to the traces of the supermatrices. We
show there exists an interesting fine tuned commutative limit where the duality
can be still maintained. Namely on the commutative superspace too, there exists
a supermatrix model description for the superfield theory. We interpret the
result in the context of the wave particle duality. The dual particles for the
superfields in even and odd spacetime dimensions are D-instantons and D0-branes
respectively to be consistent with the T-duality.
","[{""version"":""v1"",""created"":""Sun, 6 Jul 2003 09:29:29 GMT""},{""version"":""v2"",""created"":""Thu, 7 Aug 2003 08:49:16 GMT""},{""version"":""v3"",""created"":""Mon, 6 Sep 2004 18:32:40 GMT""}]","2016-09-06"
"math-ph/0307010","Enrico Onofri","V.A. Fateev (Lab. de Physique Mathematique, Universite' de Montpellier
  II, France and Landau Institute, Moscow, Russia), E. Onofri (Fermi National
  Accelerator Laboratory and Universita` di Parma, Gruppo Collegato INFN,
  Italy)","An eigenvalue problem related to the non-linear sigma-model: analytical
  and numerical results","18 pages, AmsLatex, Axodraw","J.Phys.A36:11881-11900,2003","10.1088/0305-4470/36/47/014","FERMILAB-Pub-03/165-T,LPM/03-013, UPRF-2003-12","math-ph math.MP",,"  An eigenvalue problem relevant for non-linear sigma model with singular
metric is considered. We prove the existence of a non-degenerate pure point
spectrum for all finite values of the size R of the system. In the infrared
(IR) regime (large R) the eigenvalues admit a power series expansion around IR
critical point R\to\infty. We compute high order coefficients and prove that
the series converges for all finite values of R. In the ultraviolet (UV) limit
the spectrum condenses into a continuum spectrum with a set of residual bound
states. The spectrum agrees nicely with the central charge computed by the
Thermodynamic Bethe Ansatz method
","[{""version"":""v1"",""created"":""Sun, 6 Jul 2003 15:37:41 GMT""}]","2008-11-26"
"math/0307076","Florian Pop","Florian Pop (at Bonn)","Pro-l birational anabelian geometry over algebraically closed fields I","40 pages, Plain-TeX Please run TeX twice because of cross references",,,,"math.AG math.NT",,"  We consider function fields of transcendence degree at least 2 over algebraic
closures of finite fields, and describe a functorial way to recover such
function fields form their pro-l Galois theory.
","[{""version"":""v1"",""created"":""Sat, 5 Jul 2003 16:03:16 GMT""}]","2007-05-23"
"nucl-th/0307023","Tetsuo Sawada","Tetsuo Sawada","Is the nuclear force short range ?","10 pages, 3 eps figures",,,"NUP-A-2003-4","nucl-th hep-ph",,"  Possible strong Van der Waals force is searched in the nuclear interaction,
whose existence is expected when the fundamental interaction between quarks is
strong or superstrong Coulombic type. The relation between the type of the
extra singularity at t=0 of the scattering amplitude and the power of the
asymptotic behavior of the long range potential is derived. The square root
cusp in the once subtracted S-wave amplitude, whose existence is expected when
the Van der Waals force of the London type is acting, is observed when we
analyze the high precision phase shift data of the low energy proton-proton
scattering.
","[{""version"":""v1"",""created"":""Sun, 6 Jul 2003 02:14:06 GMT""}]","2007-05-23"
"nucl-th/0307024","Kazuyuki Ogata","Kazuyuki Ogata, M. Yahiro, Y. Iseri, T. Matsumoto, N. Yamashita and M.
  Kamimura","Determination of $S_{17}$ from systematic analyses on $^8$B Coulomb
  breakup with the Eikonal-CDCC method","8 pages, 4 figures, to be published in the Proceedings of the 10th
  International Conference on Nuclear Reaction Mechanisms, Varenna, Villa
  Monastero, June 9--13, 2003",,,,"nucl-th",,"  A new version of the method of Continuum-Discretized Coupled-Channels method
(CDCC) is proposed, that is, the Eikonal-CDCC method (E-CDCC). The E-CDCC
equation, for Coulomb dissociation in particular, can easily and safely be
solved, since it is a first-order differential equation and contains no huge
angular momentum in contrast to the CDCC one. The scattering amplitude
calculated by E-CDCC has a similar form to that by CDCC. Then one can construct
hybrid amplitude in an intuitive way, i.e., CDCC amplitude is adopted for a
smaller angular momentum $L$ and E-CDCC one for a larger $L$ related to an
impact parameter $b$. The hybrid calculation is found to perfectly reproduce
the quantum mechanical result for $^{58}$Ni($^8$B,$^7$Be$+p$)$^{58}$Ni at 240
MeV, which shows its applicability to systematic analysis of $^8$B dissociation
to extract the astrophysical factor $S_{17}$ with high accuracy.
","[{""version"":""v1"",""created"":""Sun, 6 Jul 2003 08:05:06 GMT""}]","2007-05-23"
"quant-ph/0307037","Ghassan Shahin","Jason Smith","Quantum Process","12 pages",,,,"quant-ph",,"  The exact scattering solutions of the Klein-Gordon equation in cylindrically
symmetric field are constructed as eigenfunctions of a complete set of
commuting operators. The matrix elements and the corresponding differential
scattering cross-section are calculated. Properties of the pair production at
various limits are discussed.
","[{""version"":""v1"",""created"":""Sat, 5 Jul 2003 16:23:31 GMT""},{""version"":""v2"",""created"":""Sat, 7 Aug 2004 12:49:00 GMT""}]","2007-05-23"
"quant-ph/0307038","Ulrike Herzog","Ulrike Herzog","Minimum-error discrimination between a pure and a mixed two-qubit state","6 pages, contribution to the 10th CEWQO, submitted to J. Opt. B",,"10.1088/1464-4266/6/3/005",,"quant-ph",,"  The problem of discriminating with minimum error between two mixed quantum
states is reviewed, with emphasize on the detection operators necessary for
performing the measurement. An analytical result is derived for the minimum
probability of errors in deciding whether the state of a quantum system is
either a given pure state or a uniform statistical mixture of any number of
mutually orthogonal states. The result is applied to two-qubit states, and the
minimum error probabilities achievable by collective and local measurements on
the qubits are compared.
","[{""version"":""v1"",""created"":""Sat, 5 Jul 2003 16:50:20 GMT""}]","2009-11-10"
"quant-ph/0307039","A. R. P. Rau","A.R.P.Rau and Weichang Zhao","Decoherence in a driven three-level system","8 pages, 17 figures in tar.gz","Phys. Rev. A 68, 052102 (2003)","10.1103/PhysRevA.68.052102",,"quant-ph",,"  Dissipation and decoherence, and the evolution from pure to mixed states in
quantum physics are handled through master equations for the density matrix.
Master equations such as the Lindblad equation preserve the trace of this
matrix. Viewing them as first-order time-dependent operator equations for the
elements of the density matrix, a unitary integration procedure can be adapted
to solve for these matrix elements. A simple model for decoherence preserves
the hermiticity of the density matrix. A single, classical Riccati equation is
the only one requiring numerical handling to obtain a full solution of the
quantum evolution. The procedure is general, valid for any number of levels,
but is illustrated here for a three-level system with two driving fields. For
various choices of the initial state, we study the evolution of the system as a
function of the amplitudes, relative frequencies and phases of the driven
fields, and of the strength of the decoherence. The monotonic growth of the
entropy is followed as the system evolves from a pure to a mixed state. An
example is provided by the $n=3$ states of the hydrogen atom in a
time-dependent electric field, such degenerate manifolds affording an
analytical solution.
","[{""version"":""v1"",""created"":""Sat, 5 Jul 2003 17:19:47 GMT""}]","2009-11-10"
